year,quantity,value,unit,ci_low,ci_high,source,note
2022,SSB,284,kt,198,410,DFO 2026 SAR Table 1,RPR 2026-03-24/27
2023,SSB,291,kt,217,389,DFO 2026 SAR Table 1,
2024,SSB,338,kt,268,426,DFO 2026 SAR Table 1,revises archived 2025-vintage 342 (tagging excluded 2020+)
2025,SSB,449,kt,363,554,DFO 2026 SAR Table 1,origin-2024 h=1 target
2026,SSB,542,kt,423,696,DFO 2026 SAR Table 1,origin-2025 h=1 target
2022,SSB_over_LRP,1.20,ratio,0.66,2.17,DFO 2026 SAR Table 1,
2023,SSB_over_LRP,1.22,ratio,0.71,2.11,DFO 2026 SAR Table 1,
2024,SSB_over_LRP,1.42,ratio,0.86,2.35,DFO 2026 SAR Table 1,
2025,SSB_over_LRP,1.89,ratio,1.17,3.06,DFO 2026 SAR Table 1,
2026,SSB_over_LRP,2.28,ratio,1.41,3.71,DFO 2026 SAR Table 1,healthy zone; P(above USR)=0.70
2025,M_age5plus,0.26,yr-1,0.13,0.49,DFO 2026 SAR status bullets,
2025,F_age5plus,0.04,yr-1,0.03,0.06,DFO 2026 SAR status bullets,F<0.05 since 2004
2025,total_authorized_removals,42.867,kt,,,DFO 2026 SAR stock advice,projection scenarios 0-2x this value (=85.734 kt)
2029,P_critical_zone_low_removals,0.01,ratio,,,DFO 2026 SAR stock advice,3-year projection; 0.08 at 2x removals
2029,P_healthy_zone_low_removals,0.79,ratio,,,DFO 2026 SAR stock advice,0.53 at 2x removals
2029,P_decline_low_removals,0.21,ratio,,,DFO 2026 SAR stock advice,0.53 at 2x removals
