treatment,C_kt,s_kt,profile_mse,r,K_kt,lr_stat
coarse regime,5.0,0.0,126.49958034531141,2.0,105.97389609615664,0.0
coarse regime,5.0,0.20005333333333333,126.580113834951,2.0,105.37132883995535,0.007637135104218616
coarse regime,5.0,0.40010666666666667,126.6630898764231,2.0,104.77216344510622,0.01550082122652904
coarse regime,5.0,0.60016,126.7485852515975,2.0,104.17657104930369,0.02359787942639345
coarse regime,5.0,0.8002133333333333,126.83667921551421,2.0,103.58464970364831,0.03193533240693205
coarse regime,5.0,1.0002666666666666,126.9274535637342,2.0,102.99645131801603,0.04052040873880684
coarse regime,5.0,1.20032,127.02099270014219,2.0,102.41215666422733,0.049360546996576674
coarse regime,5.0,1.4003733333333332,127.11738370507636,2.0,101.83188651341139,0.05846339978912033
coarse regime,5.0,1.6004266666666667,127.21671640352476,2.0,101.25552112925764,0.0678368376527745
coarse regime,5.0,1.80048,127.31908343379455,2.0,100.68350133248246,0.07748895283854271
coarse regime,5.0,2.0005333333333333,127.42458031568577,2.0,100.11577009562652,0.0874280628947757
coarse regime,5.0,2.2005866666666667,127.53330551875695,2.0,99.55237391350119,0.09766271409352023
coarse regime,5.0,2.40064,127.64536053037834,2.0,98.99354337817532,0.10820168466426733
coarse regime,5.0,2.6006933333333335,127.76084992318386,2.0,98.43934776694913,0.11905398779080217
coarse regime,5.0,2.8007466666666665,127.87988142215148,2.0,97.88990772655684,0.13022887438512193
coarse regime,5.0,3.0008,128.00256597098254,2.0,97.34527661453029,0.14173583559939404
coarse regime,5.0,3.2008533333333333,128.12901779773676,2.0,96.80568077409114,0.1535846050639647
coarse regime,5.0,3.4009066666666667,128.25935447963283,2.0,96.27113459380547,0.16578516083480455
coarse regime,5.0,3.60096,128.3936970068582,2.0,95.7418072607285,0.17834772702757803
coarse regime,5.0,3.801013333333333,128.53216984535112,2.0,95.21772942681201,0.19128277512660286
coarse regime,5.0,4.0010666666666665,128.67490099853725,2.0,94.69903371871504,0.20460102495874755
coarse regime,5.0,4.20112,128.82202206770714,2.0,94.18594616178281,0.2183134452946635
coarse regime,5.0,4.401173333333333,128.97366831150237,2.0,93.67845292230862,0.23243125411265797
coarse regime,5.0,4.601226666666666,129.12997870379903,2.0,93.17667019243214,0.24696591845054972
coarse regime,5.0,4.80128,129.29109599058322,2.0,92.68071102676467,0.2619291538926288
coarse regime,5.0,5.001333333333333,129.45716674549817,2.0,92.19068163918062,0.27733292365362755
coarse regime,5.0,5.201386666666667,129.62834142419842,2.0,91.7067157517135,0.2931894372640661
coarse regime,5.0,5.40144,129.80477441750585,2.0,91.22879385156901,0.30951114884833447
coarse regime,5.0,5.601493333333333,129.986624103551,2.0,90.75708290661731,0.3263107550044527
coarse regime,5.0,5.801546666666667,130.17405289879113,2.0,90.29168485548011,0.3436011922674451
coarse regime,5.0,6.0016,130.36722730822547,2.0,89.83266842855444,0.3613956341780878
coarse regime,5.0,6.201653333333334,130.56631797477957,2.0,89.38010217159145,0.37970748794658904
coarse regime,5.0,6.401706666666667,130.77149972805844,2.0,88.93403885246923,0.3985503907219876
coarse regime,5.0,6.60176,130.98295163259246,2.0,88.49460840245574,0.41793820547109417
coarse regime,5.0,6.8018133333333335,131.20085703580997,2.0,88.06190805330284,0.43788501648103617
coarse regime,5.0,7.0018666666666665,131.42540361572205,2.0,87.63584254274573,0.45840512447681453
coarse regime,5.0,7.20192,131.65678342884203,2.0,87.21661693173773,0.4795130413945925
coarse regime,5.0,7.401973333333333,131.89519295803316,2.0,86.804236416944,0.5012234847756766
coarse regime,5.0,7.602026666666666,132.14083316091578,2.0,86.3988154095151,0.523551371832125
coarse regime,5.0,7.80208,132.3939095187233,2.0,86.00027862186283,0.546511813167248
coarse regime,5.0,8.002133333333333,132.65463208588457,2.0,85.60881432956764,0.5701201061698831
coarse regime,5.0,8.202186666666666,132.92321554042124,2.0,85.22437226940416,0.5943917280844042
coarse regime,5.0,8.40224,133.19987923531065,2.0,84.84699833035309,0.6193423287643421
coarse regime,5.0,8.602293333333334,133.4848472508786,2.0,84.47679669575383,0.6449877231099168
coarse regime,5.0,8.802346666666667,133.77834844844142,2.0,84.11377711489628,0.6713438832042364
coarse regime,5.0,9.0024,134.08061652498313,2.0,83.75791255431909,0.6984269301242465
coarse regime,5.0,9.202453333333333,134.39189006911707,2.0,83.40927174018414,0.7262531254448147
coarse regime,5.0,9.402506666666667,134.71241261817605,2.0,83.06788043536136,0.754838862418471
coarse regime,5.0,9.60256,135.04243271638725,2.0,82.73379648595272,0.7842006568242248
annual landings,3.19,0.0,122.89599898146992,2.0,129.77014364968628,0.0
annual landings,3.19,0.20005333333333333,122.91978175757289,2.0,128.9727263555175,0.0023220097039177907
annual landings,3.19,0.40010666666666667,122.94472155863245,2.0,128.17734097422712,0.004756501952328866
annual landings,3.19,0.60016,122.9708596936564,2.0,127.38414910541799,0.007307439309539735
annual landings,3.19,0.8002133333333333,122.99823903808426,2.0,126.5930347672726,0.009978930453634514
annual landings,3.19,1.0002666666666666,123.02690409616821,2.0,125.80446625361843,0.012775235694487179
annual landings,3.19,1.20032,123.0569010665148,2.0,125.01820514449942,0.015700772754546424
annual landings,3.19,1.4003733333333332,123.08827790908292,2.0,124.23437692201338,0.018760122642477003
annual landings,3.19,1.6004266666666667,123.12108441545708,2.0,123.45304663374478,0.02195803579332647
annual landings,3.19,1.80048,123.15537228145497,2.0,122.67436962076542,0.025299438379279504
