tag,model,horizon,n,rmse,mae,log_rmse,brier
ncam2016,M_cap_index,1,24,150.0249973795342,57.352142771483535,0.584219462007249,
ncam2016,M_cap_index,5,20,262.3435709649842,126.89920453330657,4.311620028171807,
ncam2016,naive_persist,1,25,98.04940768816505,48.097199999999994,0.5198783229119991,0.0
ncam2016,naive_persist,5,21,264.72084953957136,137.1561904761905,1.6762533518235911,0.0
ncam2016,naive_train_mean,1,25,423.5936391977477,375.1515224034839,2.3472833386762026,0.0
ncam2016,naive_train_mean,5,21,507.38640471825653,447.81432456463796,2.6131673906252715,0.0
xteNCAM,M_cap_index,1,36,132.01517697165886,71.26136165367834,0.5265730162876812,
xteNCAM,M_cap_index,5,32,491.7355424434209,324.2002577759777,1.8016940326649085,
xteNCAM,naive_persist,1,63,87.64964527857667,61.12698412698413,0.35160246054385647,0.06349206349206349
xteNCAM,naive_persist,5,59,317.7103200363928,236.25423728813558,1.230905312561434,0.2711864406779661
xteNCAM,naive_train_mean,1,63,448.8155366841646,387.5088878833321,1.7272125825888702,0.4126984126984127
xteNCAM,naive_train_mean,5,59,506.3932290719367,438.90635215638946,1.8364834154400047,0.4406779661016949
