tag,model,horizon,n,rmse,mae,log_rmse,brier
ncam2016,M_cap_regime1991,1,25,153.83658296455673,65.69266131588763,0.5783407977097887,
ncam2016,M_cap_regime1991,5,21,333.9779777798331,168.6541045561966,4.355000288116044,
ncam2016,naive_persist,1,25,98.04940768816505,48.097199999999994,0.5198783229119991,0.0
ncam2016,naive_persist,5,21,264.72084953957136,137.1561904761905,1.6762533518235911,0.0
ncam2016,naive_train_mean,1,25,423.5936391977477,375.1515224034839,2.3472833386762026,0.0
ncam2016,naive_train_mean,5,21,507.38640471825653,447.81432456463796,2.6131673906252715,0.0
xteNCAM,M_cap_regime1991,1,59,146.76799544235,87.5021301595792,0.43154715319824294,
xteNCAM,M_cap_regime1991,5,55,894.3751417685802,539.7742947150178,5.614087344986012,
xteNCAM,naive_persist,1,63,87.64964527857667,61.12698412698413,0.35160246054385647,0.06349206349206349
xteNCAM,naive_persist,5,59,317.7103200363928,236.25423728813558,1.230905312561434,0.2711864406779661
xteNCAM,naive_train_mean,1,63,448.8155366841646,387.5088878833321,1.7272125825888702,0.4126984126984127
xteNCAM,naive_train_mean,5,59,506.3932290719367,438.90635215638946,1.8364834154400047,0.4406779661016949
