year,catch_t_schijns,catch_kt_schijns,source_schijns,catch_t_dfo,catch_kt_dfo,source_dfo,diff_t,rel
1983,232345,232.345,Schijns et al. 2021 Table 1 (ICES JMS 78:2675),232345,232.345,Regular et al. 2025 Table 1,0,0.0
1984,232471,232.471,Schijns et al. 2021 Table 1,232471,232.471,Regular et al. 2025 Table 1,0,0.0
1985,231293,231.293,Schijns et al. 2021 Table 1,231293,231.293,Regular et al. 2025 Table 1,0,0.0
1986,266713,266.713,Schijns et al. 2021 Table 1,266713,266.713,Regular et al. 2025 Table 1,0,0.0
1987,239924,239.924,Schijns et al. 2021 Table 1,239924,239.924,Regular et al. 2025 Table 1,0,0.0
1988,268677,268.677,Schijns et al. 2021 Table 1,268677,268.677,Regular et al. 2025 Table 1,0,0.0
1989,253990,253.99,Schijns et al. 2021 Table 1,253990,253.99,Regular et al. 2025 Table 1,0,0.0
1990,219452,219.452,Schijns et al. 2021 Table 1,219452,219.452,Regular et al. 2025 Table 1,0,0.0
1991,172012,172.012,Schijns et al. 2021 Table 1,172012,172.012,Regular et al. 2025 Table 1,0,0.0
1992,40956,40.956,Schijns et al. 2021 Table 1,40956,40.956,Regular et al. 2025 Table 1,0,0.0
1993,11392,11.392,Schijns et al. 2021 Table 1,11392,11.392,Regular et al. 2025 Table 1,0,0.0
