catch,window,model,train,test,n,rmse,mae,log_rmse,brier_below_lrp,direction_hit,r,K,s_allee,phi,sig,ok,sse
regime,collapse,M1_autonomous_Schaefer,1983-1990,1991-1995,5,694.26520900241,638.3221359124417,2.729914384115799,1.0,0.5,1.9350300501986595,1032.716564304809,,-0.13914603025635455,33.78717381351678,True,978.4913465532218
regime,collapse,M1b_autonomous_Allee,1983-1990,1991-1995,5,693.591750058696,635.5494501663295,2.7295081132969212,0.8,0.0,1.9999999717164216,1058.8531224125236,1.441828399444817e-14,-0.6537429817540443,40.22051206571151,True,1399.705875665746
regime,collapse,M2_stockflow_regimeC,1983-1990,1991-1995,5,819.3563852261078,750.9901627685047,2.8513440961725007,1.0,0.25,1.9350300501986595,1032.716564304809,,-0.13914603025635455,33.78717381351678,True,978.4913465532218
regime,collapse,M3_AR_residual,1983-1990,1991-1995,5,819.4454023769283,751.260710343601,2.851447789941163,1.0,0.25,1.9350300501986595,1032.716564304809,,-0.13914603025635455,33.78717381351678,True,978.4913465532218
regime,collapse,M4_delayed_info,1983-1990,1991-1995,5,819.1417947467444,750.2166209846413,2.851120007800473,1.0,0.25,1.9350300501986595,1032.716564304809,,-0.13914603025635455,33.78717381351678,True,978.4913465532218
regime,recovery,M1_autonomous_Schaefer,1995-2007,2008-2015,8,119.63571936153633,105.3557933705866,0.6075668866353328,0.0,0.5714285714285714,0.4581349413984343,500.0008943332134,,0.95,11.832839280735847,True,128.34969093511833
regime,recovery,M1b_autonomous_Allee,1995-2007,2008-2015,8,89.77081080894442,55.063668965815154,0.5229822273724289,0.0,0.5714285714285714,2.0,105.8813724794506,2.2415439507817958e-27,0.95,11.66704111110894,True,126.4996218269343
regime,recovery,M2_stockflow_regimeC,1995-2007,2008-2015,8,119.63571936153633,105.3557933705866,0.6075668866353328,0.0,0.5714285714285714,0.4581349413984343,500.0008943332134,,0.95,11.832839280735847,True,128.34969093511833
regime,recovery,M3_AR_residual,1995-2007,2008-2015,8,219.7278888990821,200.2534457954504,0.9222667693637695,0.0,0.5714285714285714,0.4581349413984343,500.0008943332134,,0.95,11.832839280735847,True,128.34969093511833
regime,recovery,M4_delayed_info,1995-2007,2008-2015,8,214.14284481390845,194.59658288108935,0.9050859353793642,0.0,0.5714285714285714,0.4581349413984343,500.0008943332134,,0.95,11.832839280735847,True,128.34969093511833
annual,collapse,M1_autonomous_Schaefer,1983-1990,1991-1995,5,694.2687573498835,638.3258434897094,2.729917957147124,1.0,0.5,1.9420496791628197,1034.278987660796,,-0.13909093329866118,33.78827832359779,True,978.5553210633167
annual,collapse,M1b_autonomous_Allee,1983-1990,1991-1995,5,693.4490564228912,635.3327147619208,2.7293887920433826,0.8,0.0,1.999999979154531,1062.0389254632003,1.6416056141872264e-18,-0.662533399914343,40.53870753849423,True,1422.5709682694355
annual,collapse,M2_stockflow_regimeC,1983-1990,1991-1995,5,820.6929465208353,766.4606972034104,2.8470496279247497,1.0,0.5,1.9910974662531618,1032.3390835920795,,-0.020295576090583946,47.03974520003167,True,1896.632363367083
annual,collapse,M3_AR_residual,1983-1990,1991-1995,5,820.6990192091482,766.4716007667015,2.8470585693367516,1.0,0.5,1.9910974662531618,1032.3390835920795,,-0.020295576090583946,47.03974520003167,True,1896.632363367083
annual,collapse,M4_delayed_info,1983-1990,1991-1995,5,818.9351379738654,763.1545236753078,2.8444228651169747,1.0,0.5,1.9910974662531618,1032.3390835920795,,-0.020295576090583946,47.03974520003167,True,1896.632363367083
annual,recovery,M1_autonomous_Schaefer,1995-2007,2008-2015,8,263.70668121717154,210.03892121705968,0.8402091331136656,0.0,0.5714285714285714,0.3697489127126614,5000.0,,0.95,11.807427392053233,True,127.84027220480505
annual,recovery,M1b_autonomous_Allee,1995-2007,2008-2015,8,78.07015336737176,55.892875468960646,0.4336915634314634,0.0,0.42857142857142855,2.0,129.79042450838875,3.4686380483379205e-06,0.95,11.555940685062911,True,122.89407487969838
annual,recovery,M2_stockflow_regimeC,1995-2007,2008-2015,8,302.75185592849687,239.00540878616758,0.9046652985805853,0.125,0.5714285714285714,0.3900994203617515,5000.0,,0.95,10.566774582965705,True,102.84208563470288
annual,recovery,M3_AR_residual,1995-2007,2008-2015,8,609.1271506323501,484.08724109399657,1.344083824351157,0.25,0.5714285714285714,0.3900994203617515,5000.0,,0.95,10.566774582965705,True,102.84208563470288
annual,recovery,M4_delayed_info,1995-2007,2008-2015,8,586.3008979294314,465.07198581154,1.3156032929431405,0.25,0.5714285714285714,0.3900994203617515,5000.0,,0.95,10.566774582965705,True,102.84208563470288
