policy,uc,T,nominal_boundary,certified_boundary,nominal_intervals,certified_intervals
BAU,UC_min,1,1141.032,1555.805,"[[1141.0315999734303, 10000.0]]","[[1555.804781785207, 10000.0]]"
BAU,UC_min,2,1370.42,2225.955,"[[1370.4200885371686, 10000.0]]","[[2225.9547718555787, 10000.0]]"
BAU,UC_min,3,1579.502,3012.304,"[[1579.5024702769329, 10000.0]]","[[3012.3035596671425, 10000.0]]"
BAU,UC_min,5,1956.393,7289.123,"[[1956.3927419672077, 10000.0]]","[[7289.122915602007, 10000.0]]"
BAU,UC_min,8,2471.527,,"[[2471.5273724341405, 10000.0]]",
BAU,UC_min,10,2815.061,,"[[2815.060770300047, 10000.0]]",
BAU,UC_min,15,3881.719,,"[[3881.7185696604874, 10000.0]]",
BAU,UC_min,20,6657.929,,"[[6657.928774394155, 10000.0]]",
BAU,UC_min,inf,,,,
BAU,UC_q05,1,1016.532,1426.863,"[[1016.5315774653315, 10000.0]]","[[1426.862769057448, 10000.0]]"
BAU,UC_q05,2,1132.766,1960.229,"[[1132.765850773166, 10000.0]]","[[1960.2286930282562, 10000.0]]"
BAU,UC_q05,3,1236.118,2570.049,"[[1236.117708191603, 10000.0]]","[[2570.0490585766606, 10000.0]]"
BAU,UC_q05,5,1412.485,5280.34,"[[1412.485430149379, 10000.0]]","[[5280.339819483352, 10000.0]]"
BAU,UC_q05,8,1622.466,,"[[1622.4657468665525, 10000.0]]",
BAU,UC_q05,10,1737.102,,"[[1737.1021477164354, 10000.0]]",
BAU,UC_q05,15,1967.338,,"[[1967.3377230337508, 10000.0]]",
BAU,UC_q05,20,2148.345,,"[[2148.3448157639114, 10000.0]]",
BAU,UC_q05,inf,,,,
BAU,UC_q10,1,884.6,1344.629,"[[884.6, 10000.0]]","[[1344.629, 10000.0]]"
BAU,UC_q10,2,884.6,1875.067,"[[884.6, 10000.0]]","[[1875.067, 10000.0]]"
BAU,UC_q10,3,884.6,2486.692,"[[884.6, 10000.0]]","[[2486.692, 10000.0]]"
BAU,UC_q10,5,884.6,4005.107,"[[884.6, 10000.0]]","[[4005.107, 10000.0]]"
BAU,UC_q10,8,884.6,,"[[884.6, 10000.0]]",
BAU,UC_q10,10,884.6,,"[[884.6, 10000.0]]",
BAU,UC_q10,15,884.6,,"[[884.6, 10000.0]]",
BAU,UC_q10,20,884.6,,"[[884.6, 10000.0]]",
BAU,UC_q10,inf,884.6,,"[[884.6, 10000.0]]",
flat_100,UC_min,1,1351.076,1773.57,"[[1351.0764688555012, 10000.0]]","[[1773.5699732778444, 10000.0]]"
flat_100,UC_min,2,1779.604,2686.871,"[[1779.6038682910823, 10000.0]]","[[2686.871227250228, 10000.0]]"
flat_100,UC_min,3,2188.153,3821.842,"[[2188.152668189938, 10000.0]]","[[3821.84178986754, 10000.0]]"
flat_100,UC_min,5,3008.701,,"[[3008.70075134982, 10000.0]]",
flat_100,UC_min,8,4567.424,,"[[4567.4238454013275, 10000.0]]",
flat_100,UC_min,10,6532.879,,"[[6532.8792539842125, 10000.0]]",
flat_100,UC_min,15,,,,
flat_100,UC_min,20,,,,
flat_100,UC_min,inf,,,,
flat_100,UC_q05,1,1224.366,1642.167,"[[1224.3657030317072, 10000.0]]","[[1642.1672449187522, 10000.0]]"
flat_100,UC_q05,2,1531.481,2406.844,"[[1531.4807009417398, 10000.0]]","[[2406.8441054548166, 10000.0]]"
flat_100,UC_q05,3,1816.302,3323.054,"[[1816.3021707232888, 10000.0]]","[[3323.0535605544856, 10000.0]]"
flat_100,UC_q05,5,2350.789,9774.047,"[[2350.788959845828, 10000.0]]","[[9774.046816223883, 10000.0]]"
flat_100,UC_q05,8,3167.521,,"[[3167.5212069863733, 10000.0]]",
flat_100,UC_q05,10,3820.546,,"[[3820.546055655899, 10000.0]]",
flat_100,UC_q05,15,8060.314,,"[[8060.3142243560305, 10000.0]]",
flat_100,UC_q05,20,,,,
flat_100,UC_q05,inf,,,,
flat_100,UC_q10,1,1043.816,1455.112,"[[1043.815905364975, 10000.0]]","[[1455.1122599951345, 10000.0]]"
flat_100,UC_q10,2,1184.553,2018.016,"[[1184.5526613795853, 10000.0]]","[[2018.0161240796892, 10000.0]]"
flat_100,UC_q10,3,1310.359,2664.882,"[[1310.359229230274, 10000.0]]","[[2664.881571692414, 10000.0]]"
flat_100,UC_q10,5,1527.533,5641.389,"[[1527.533379962603, 10000.0]]","[[5641.389429634384, 10000.0]]"
flat_100,UC_q10,8,1793.416,,"[[1793.4162765311414, 10000.0]]",
flat_100,UC_q10,10,1944.314,,"[[1944.314068883091, 10000.0]]",
flat_100,UC_q10,15,2270.059,,"[[2270.059234967409, 10000.0]]",
flat_100,UC_q10,20,2566.144,,"[[2566.143861614358, 10000.0]]",
flat_100,UC_q10,inf,,,,
flat_75,UC_min,1,1297.091,1717.573,"[[1297.091254289765, 10000.0]]","[[1717.5726834969673, 10000.0]]"
flat_75,UC_min,2,1673.402,2566.806,"[[1673.4018908394978, 10000.0]]","[[2566.805997308995, 10000.0]]"
flat_75,UC_min,3,2027.902,3605.163,"[[2027.9021583130873, 10000.0]]","[[3605.1633435572353, 10000.0]]"
flat_75,UC_min,5,2718.823,,"[[2718.822841327691, 10000.0]]",
flat_75,UC_min,8,3904.206,,"[[3904.206108866449, 10000.0]]",
flat_75,UC_min,10,5083.559,,"[[5083.55922514265, 10000.0]]",
flat_75,UC_min,15,,,,
flat_75,UC_min,20,,,,
flat_75,UC_min,inf,,,,
flat_75,UC_q05,1,1170.956,1586.812,"[[1170.956110931439, 10000.0]]","[[1586.8115922133838, 10000.0]]"
flat_75,UC_q05,2,1428.067,2290.622,"[[1428.0674590549318, 10000.0]]","[[2290.6224530166787, 10000.0]]"
flat_75,UC_q05,3,1663.865,3122.44,"[[1663.864502326784, 10000.0]]","[[3122.440187158378, 10000.0]]"
flat_75,UC_q05,5,2094.939,7986.964,"[[2094.9389008637695, 10000.0]]","[[7986.964402325146, 10000.0]]"
flat_75,UC_q05,8,2706.902,,"[[2706.9018757740187, 10000.0]]",
flat_75,UC_q05,10,3139.927,,"[[3139.927001042198, 10000.0]]",
flat_75,UC_q05,15,4743.132,,"[[4743.132023099276, 10000.0]]",
flat_75,UC_q05,20,,,,
flat_75,UC_q05,inf,,,,
flat_75,UC_q10,1,991.206,1400.645,"[[991.2056720401997, 10000.0]]","[[1400.6450943290592, 10000.0]]"
flat_75,UC_q10,2,1084.841,1906.807,"[[1084.841062256155, 10000.0]]","[[1906.8070144582875, 10000.0]]"
flat_75,UC_q10,3,1167.693,2486.692,"[[1167.6926446070117, 10000.0]]","[[2486.692, 10000.0]]"
flat_75,UC_q10,5,1307.604,4971.517,"[[1307.6043665229977, 10000.0]]","[[4971.516880933804, 10000.0]]"
flat_75,UC_q10,8,1470.082,,"[[1470.0815960442897, 10000.0]]",
flat_75,UC_q10,10,1555.816,,"[[1555.81632055631, 10000.0]]",
flat_75,UC_q10,15,1717.978,,"[[1717.9782954250343, 10000.0]]",
flat_75,UC_q10,20,1831.697,,"[[1831.6965410969033, 10000.0]]",
flat_75,UC_q10,inf,2335.415,,"[[2335.4153815153377, 10000.0]]",
flat_50,UC_min,1,1243.353,1661.851,"[[1243.3527907466903, 10000.0]]","[[1661.850632843655, 10000.0]]"
flat_50,UC_min,2,1568.409,2448.414,"[[1568.4085593505743, 10000.0]]","[[2448.413876048443, 10000.0]]"
flat_50,UC_min,3,1871.088,3395.678,"[[1871.0881071791976, 10000.0]]","[[3395.6780890606874, 10000.0]]"
flat_50,UC_min,5,2444.578,,"[[2444.577750990054, 10000.0]]",
flat_50,UC_min,8,3346.061,,"[[3346.060546526063, 10000.0]]",
flat_50,UC_min,10,4103.786,,"[[4103.786176285306, 10000.0]]",
flat_50,UC_min,15,,,,
flat_50,UC_min,20,,,,
flat_50,UC_min,inf,,,,
flat_50,UC_q05,1,1117.785,1531.722,"[[1117.785495345631, 10000.0]]","[[1531.721869796913, 10000.0]]"
flat_50,UC_q05,2,1325.781,2175.937,"[[1325.781031124443, 10000.0]]","[[2175.9372243386138, 10000.0]]"
flat_50,UC_q05,3,1514.471,2927.817,"[[1514.470662991362, 10000.0]]","[[2927.8171836563183, 10000.0]]"
flat_50,UC_q05,5,1850.987,6826.178,"[[1850.987459352374, 10000.0]]","[[6826.178283624849, 10000.0]]"
flat_50,UC_q05,8,2298.226,,"[[2298.226306092286, 10000.0]]",
flat_50,UC_q05,10,2584.08,,"[[2584.079527702268, 10000.0]]",
flat_50,UC_q05,15,3380.289,,"[[3380.2889878191118, 10000.0]]",
flat_50,UC_q05,20,4748.504,,"[[4748.504167621364, 10000.0]]",
flat_50,UC_q05,inf,,,,
flat_50,UC_q10,1,938.824,1346.431,"[[938.8238904576056, 10000.0]]","[[1346.4313163809002, 10000.0]]"
flat_50,UC_q10,2,986.153,1875.067,"[[986.1530665346035, 10000.0]]","[[1875.067, 10000.0]]"
flat_50,UC_q10,3,1027.616,2486.692,"[[1027.6164462122308, 10000.0]]","[[2486.692, 10000.0]]"
flat_50,UC_q10,5,1096.18,4397.309,"[[1096.1799676040087, 10000.0]]","[[4397.30895616513, 10000.0]]"
flat_50,UC_q10,8,1172.009,,"[[1172.0094303572027, 10000.0]]",
flat_50,UC_q10,10,1209.498,,"[[1209.497596412285, 10000.0]]",
flat_50,UC_q10,15,1273.164,,"[[1273.1636358069288, 10000.0]]",
flat_50,UC_q10,20,1309.91,,"[[1309.909890032071, 10000.0]]",
flat_50,UC_q10,inf,1363.041,,"[[1363.0408136730948, 10000.0]]",
flat_25,UC_min,1,1189.858,1606.4,"[[1189.857725355893, 10000.0]]","[[1606.3998021950965, 10000.0]]"
flat_25,UC_min,2,1464.588,2331.634,"[[1464.5879725120453, 10000.0]]","[[2331.634480860201, 10000.0]]"
flat_25,UC_min,3,1717.534,3192.832,"[[1717.534487659205, 10000.0]]","[[3192.8320879463804, 10000.0]]"
flat_25,UC_min,5,2184.187,8512.376,"[[2184.1873028393297, 10000.0]]","[[8512.375848452375, 10000.0]]"
flat_25,UC_min,8,2863.511,,"[[2863.5108417132396, 10000.0]]",
flat_25,UC_min,10,3364.094,,"[[3364.0938514516424, 10000.0]]",
flat_25,UC_min,15,5505.708,,"[[5505.708276002244, 10000.0]]",
flat_25,UC_min,20,,,,
flat_25,UC_min,inf,,,,
flat_25,UC_q05,1,1064.851,1476.894,"[[1064.8506768567074, 10000.0]]","[[1476.8942814875966, 10000.0]]"
flat_25,UC_q05,2,1224.589,2062.736,"[[1224.5893513418548, 10000.0]]","[[2062.7357782313943, 10000.0]]"
flat_25,UC_q05,3,1367.975,2738.768,"[[1367.9749588178568, 10000.0]]","[[2738.7675754976317, 10000.0]]"
