year,abundance_millions_ncam,biomass_kt_ncam,ssb_kt_ncam,age2_millions,M_age5_14,F_age5_14,abundance_millions_xte,age0_millions,biomass_kt_xte,ssb_kt_xte,ssb_lo,ssb_hi,ssb_over_blim,ssb_diff,ssb_rel
1983,4797.08,2008.16,841.08,2144.36,0.391,0.192,4577.0,727.0,1171.0,427.0,372.0,490.0,1.55,-414.08000000000004,-0.492319398868122
1984,4609.75,2085.1,863.23,1529.95,0.377,0.176,4350.0,668.0,1331.0,488.0,421.0,566.0,1.77,-375.23,-0.434681371129363
1985,3772.1,2110.15,902.94,755.68,0.349,0.219,4389.0,931.0,1518.0,593.0,505.0,696.0,2.15,-309.94000000000005,-0.3432564732983366
1986,3105.69,2048.58,836.0,663.83,0.277,0.208,4793.0,1380.0,1659.0,611.0,515.0,725.0,2.21,-225.0,-0.26913875598086123
1987,3106.33,2066.51,940.75,1000.2,0.494,0.194,5458.0,1711.0,1836.0,779.0,632.0,959.0,2.82,-161.75,-0.17193728408184958
1988,3155.82,1712.97,886.4,1355.34,0.335,0.215,5067.0,1066.0,1659.0,853.0,672.0,1083.0,3.09,-33.39999999999998,-0.03768050541516243
1989,3641.7,1731.46,921.66,1498.12,0.289,0.228,4962.0,1086.0,1569.0,864.0,696.0,1072.0,3.13,-57.65999999999997,-0.06256103118286567
1990,3501.7,1859.28,861.92,884.0,0.403,0.187,4866.0,1072.0,1547.0,738.0,592.0,919.0,2.67,-123.91999999999996,-0.1437720438091702
1991,2950.23,1786.08,734.51,737.25,1.002,0.223,4474.0,907.0,1512.0,600.0,478.0,754.0,2.18,-134.51,-0.183128888646853
1992,1721.29,1028.43,381.95,357.99,2.214,0.201,3457.0,868.0,959.0,352.0,265.0,468.0,1.28,-29.94999999999999,-0.07841340489592875
1993,491.18,263.34,101.05,110.94,2.575,0.15,1793.0,463.0,243.0,79.0,54.0,115.0,0.29,-22.049999999999997,-0.21820880752102917
1994,189.31,81.75,30.55,67.18,2.331,0.086,828.0,197.0,78.0,22.0,15.0,31.0,0.08,-8.55,-0.27986906710310966
1995,73.57,25.92,9.68,35.19,0.288,0.042,365.0,145.0,28.0,10.0,8.0,13.0,0.04,0.3200000000000003,0.03305785123966945
1996,102.99,37.96,16.05,53.33,0.341,0.083,341.0,144.0,36.0,15.0,12.0,19.0,0.06,-1.0500000000000007,-0.06542056074766359
1997,117.44,47.32,20.57,57.37,0.372,0.047,416.0,206.0,44.0,20.0,17.0,23.0,0.07,-0.5700000000000003,-0.027710257656781735
1998,124.54,55.14,28.25,59.7,0.36,0.124,525.0,261.0,54.0,28.0,25.0,32.0,0.1,-0.25,-0.008849557522123894
1999,161.51,65.27,34.59,89.03,0.392,0.211,683.0,337.0,67.0,35.0,31.0,39.0,0.13,0.4099999999999966,0.011853136744723809
2000,219.14,80.16,34.42,115.34,0.717,0.137,769.0,315.0,81.0,34.0,31.0,38.0,0.12,-0.4200000000000017,-0.01220220801859389
2001,248.21,84.21,29.5,136.93,0.905,0.166,722.0,259.0,84.0,31.0,27.0,35.0,0.11,1.5,0.05084745762711865
2002,232.95,73.21,23.87,132.62,0.789,0.15,726.0,336.0,71.0,25.0,22.0,28.0,0.09,1.129999999999999,0.047339757017176326
2003,182.57,58.98,22.07,101.23,0.81,0.063,563.0,154.0,62.0,23.0,21.0,26.0,0.08,0.9299999999999997,0.04213864975079292
2004,181.26,54.56,20.07,106.97,0.362,0.037,502.0,187.0,61.0,21.0,18.0,25.0,0.08,0.9299999999999997,0.046337817638266054
2005,194.24,78.39,25.18,60.02,0.288,0.034,571.0,225.0,86.0,26.0,22.0,31.0,0.09,0.8200000000000003,0.03256552819698174
2006,234.48,116.34,40.83,79.71,0.33,0.041,698.0,287.0,125.0,41.0,35.0,48.0,0.15,0.1700000000000017,0.004163605192260634
2007,291.86,156.69,81.1,111.7,0.472,0.029,997.0,496.0,165.0,83.0,70.0,98.0,0.3,1.9000000000000057,0.02342786683107282
2008,326.41,180.27,106.65,124.65,0.57,0.028,1243.0,549.0,198.0,117.0,95.0,143.0,0.42,10.349999999999994,0.09704641350210964
2009,354.01,191.52,104.56,145.33,0.599,0.029,1344.0,576.0,192.0,99.0,81.0,121.0,0.36,-5.560000000000002,-0.05317521040550882
2010,367.09,193.6,96.91,156.27,0.696,0.025,1234.0,420.0,197.0,91.0,76.0,110.0,0.33,-5.909999999999997,-0.06098441853265914
2011,362.44,179.07,90.56,176.89,0.366,0.029,1336.0,603.0,200.0,90.0,75.0,108.0,0.33,-0.5600000000000023,-0.006183745583038894
2012,371.99,218.04,112.12,120.94,0.216,0.023,1613.0,708.0,243.0,112.0,96.0,132.0,0.41,-0.12000000000000455,-0.0010702818408848068
2013,499.81,301.34,169.17,210.85,0.207,0.018,1928.0,759.0,328.0,167.0,142.0,196.0,0.6,-2.1699999999999875,-0.012827333451557532
2014,748.91,424.05,250.12,349.56,0.298,0.014,2153.0,730.0,439.0,238.0,202.0,280.0,0.86,-12.120000000000005,-0.04845674076443309
2015,893.81,538.72,298.65,325.73,0.278,0.014,2437.0,915.0,533.0,273.0,235.0,319.0,0.99,-25.649999999999977,-0.08588648920140626
