origin,horizon,model,obs,pred,below_lrp_obs,below_lrp_pred,sqerr,abserr,log_sqerr
1990,1,M1_autonomous_Schaefer,734.51,897.7600513134212,1,0,26650.57925383465,163.25005131342118,0.04028017648099788
1990,5,M1_autonomous_Schaefer,9.68,888.8003756755347,1,0,772852.6349278934,879.1203756755348,20.428689303627255
1990,1,M1b_autonomous_Allee,734.51,882.4275318022139,1,1,21879.596214458972,147.91753180221394,0.03366236311187785
1990,5,M1b_autonomous_Allee,9.68,888.2745126081015,1,0,771928.3175850676,878.5945126081016,20.423339735019646
1990,1,M2_stockflow_regimeC,734.51,973.2137139312847,1,0,56979.46304458861,238.7037139312847,0.07918601187369698
1990,5,M2_stockflow_regimeC,9.68,1011.3954968859431,1,0,1003433.936701452,1001.7154968859431,21.613428197136884
1990,1,M3_AR_residual,734.51,973.2643765855506,1,0,57003.652338754924,238.75437658555063,0.07921531154944092
1990,5,M3_AR_residual,9.68,1011.4351319151584,1,0,1003513.3443183566,1001.7551319151585,21.613792567723934
1990,1,M4_delayed_info,734.51,958.1843558872274,1,0,50030.21748156607,223.67435588722742,0.07066909126826555
1990,5,M4_delayed_info,9.68,1000.2326471425043,1,0,981194.5467610228,990.5526471425044,21.510357560865113
1991,1,M1_autonomous_Schaefer,381.95,844.1925415787842,1,1,213668.16724521408,462.24254157878426,0.6289931573005645
1991,5,M1_autonomous_Schaefer,16.05,870.4910286134026,1,1,730069.4713779296,854.4410286134026,15.946833069582485
1991,1,M1b_autonomous_Allee,381.95,802.2275158938961,1,1,176633.19036594412,420.2775158938961,0.5507161847741339
1991,5,M1b_autonomous_Allee,16.05,870.1885916323575,1,1,729552.7337157073,854.1385916323576,15.944057869030555
1991,1,M2_stockflow_regimeC,381.95,1044.1653025276576,1,0,438529.10690179694,662.2153025276575,1.0113990641790633
1991,5,M2_stockflow_regimeC,16.05,1060.175257859599,1,0,1090197.5541003742,1044.125257859599,17.56012817412662
1991,1,M3_AR_residual,381.95,1068.282348637748,1,0,471052.09278660733,686.332348637748,1.0578485480849893
1991,5,M3_AR_residual,16.05,1062.9875297290398,1,0,1096078.1911551442,1046.9375297290399,17.582337498615885
1991,1,M4_delayed_info,381.95,1056.6110587428159,1,0,455167.5441839772,674.6610587428158,1.0353718615469711
1991,5,M4_delayed_info,16.05,1061.0817204985754,1,0,1092091.2968482126,1045.0317204985754,17.567291665927275
1992,1,M1_autonomous_Schaefer,101.05,248.997486963837,1,1,21888.458898914712,147.94748696383698,0.8132925873337374
1992,5,M1_autonomous_Schaefer,20.57,0.001,1,1,423.083761,20.569,98.63645972023534
1992,1,M1b_autonomous_Allee,101.05,0.001,1,1,10210.900400999999,101.04899999999999,132.78807281581635
1992,5,M1b_autonomous_Allee,20.57,0.001,1,1,423.083761,20.569,98.63645972023534
1992,1,M2_stockflow_regimeC,101.05,463.4335062923372,1,1,131321.80563272838,362.3835062923372,2.31967359852336
1992,5,M2_stockflow_regimeC,20.57,1050.9058411636609,1,0,1061591.9455864287,1030.335841163661,15.473004991239634
1992,1,M3_AR_residual,101.05,335.6511803725801,1,1,55037.71383220785,234.60118037258007,1.4410970645640901
1992,5,M3_AR_residual,20.57,662.820760050196,1,1,412486.03878505435,642.2507600501959,12.059443201504216
1992,1,M4_delayed_info,101.05,836.3587779402823,1,1,540678.9989160314,735.3087779402823,4.466638090774807
1992,5,M4_delayed_info,20.57,1709.625305509626,1,0,2852907.8250702163,1689.0553055096261,19.538130930110253
1993,1,M1_autonomous_Schaefer,30.55,0.001,1,1,933.241401,30.549,106.64940676323458
1993,5,M1_autonomous_Schaefer,28.25,0.001,1,1,798.006001,28.249,105.03890042518651
1993,1,M1b_autonomous_Allee,30.55,0.001,1,1,933.241401,30.549,106.64940676323458
1993,5,M1b_autonomous_Allee,28.25,0.001,1,1,798.006001,28.249,105.03890042518651
1993,1,M2_stockflow_regimeC,30.55,123.34854336329266,1,1,8611.569650348909,92.79854336329267,1.947837103454721
1993,5,M2_stockflow_regimeC,28.25,273.4292288346184,1,1,60112.85425193818,245.1792288346184,5.1526701408587945
1993,1,M3_AR_residual,30.55,0.001,1,1,933.241401,30.549,106.64940676323458
1993,5,M3_AR_residual,28.25,0.001,1,1,798.006001,28.249,105.03890042518651
1993,1,M4_delayed_info,30.55,97.01261848696575,1,1,4417.279656143962,66.46261848696575,1.3351256460645438
1993,5,M4_delayed_info,28.25,0.001,1,1,798.006001,28.249,105.03890042518651
1994,1,M1_autonomous_Schaefer,9.68,0.001,1,1,93.683041,9.679,84.2323281944706
1994,5,M1_autonomous_Schaefer,34.59,0.001,1,1,1196.3989210000004,34.589000000000006,109.23008769250347
1994,1,M1b_autonomous_Allee,9.68,0.001,1,1,93.683041,9.679,84.2323281944706
1994,5,M1b_autonomous_Allee,34.59,0.001,1,1,1196.3989210000004,34.589000000000006,109.23008769250347
1994,1,M2_stockflow_regimeC,9.68,37.326029278222855,1,1,764.3029348523553,27.646029278222855,1.821498485861446
1994,5,M2_stockflow_regimeC,34.59,67.72497948119381,1,1,1097.9268652191347,33.13497948119381,0.45143679299326467
1994,1,M3_AR_residual,9.68,0.001,1,1,93.683041,9.679,84.2323281944706
1994,5,M3_AR_residual,34.59,0.001,1,1,1196.3989210000004,34.589000000000006,109.23008769250347
1994,1,M4_delayed_info,9.68,68.57057186548413,1,1,3468.0994546437505,58.89057186548413,3.8329869477578855
1994,5,M4_delayed_info,34.59,91.98361521171059,1,1,3294.0270670698965,57.39361521171058,0.9565736704505037
1995,1,M1_autonomous_Schaefer,16.05,0.001,1,1,257.570401,16.049,93.76947752907269
1995,5,M1_autonomous_Schaefer,34.42,0.001,1,1,1184.6675610000002,34.419000000000004,109.1271281680453
1995,1,M1b_autonomous_Allee,16.05,0.001,1,1,257.570401,16.049,93.76947752907269
1995,5,M1b_autonomous_Allee,34.42,0.001,1,1,1184.6675610000002,34.419000000000004,109.1271281680453
