cell,T,sigma,rep,module,retained
D6_timevarying_r,33,11.8,0,M1_autonomous_Schaefer,False
D6_timevarying_r,33,11.8,0,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,0,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,0,M3_AR_residual,False
D6_timevarying_r,33,11.8,0,M4_delayed_info,False
D6_timevarying_r,33,11.8,1,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,1,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,1,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,1,M3_AR_residual,False
D6_timevarying_r,33,11.8,1,M4_delayed_info,False
D6_timevarying_r,33,11.8,2,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,2,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,2,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,2,M3_AR_residual,False
D6_timevarying_r,33,11.8,2,M4_delayed_info,False
D6_timevarying_r,33,11.8,3,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,3,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,3,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,3,M3_AR_residual,False
D6_timevarying_r,33,11.8,3,M4_delayed_info,False
D6_timevarying_r,33,11.8,4,M1_autonomous_Schaefer,False
D6_timevarying_r,33,11.8,4,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,4,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,4,M3_AR_residual,False
D6_timevarying_r,33,11.8,4,M4_delayed_info,False
D6_timevarying_r,33,11.8,5,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,5,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,5,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,5,M3_AR_residual,False
D6_timevarying_r,33,11.8,5,M4_delayed_info,False
D6_timevarying_r,33,11.8,6,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,6,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,6,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,6,M3_AR_residual,False
D6_timevarying_r,33,11.8,6,M4_delayed_info,False
D6_timevarying_r,33,11.8,7,M1_autonomous_Schaefer,False
D6_timevarying_r,33,11.8,7,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,7,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,7,M3_AR_residual,False
D6_timevarying_r,33,11.8,7,M4_delayed_info,False
D6_timevarying_r,33,11.8,8,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,8,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,8,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,8,M3_AR_residual,False
D6_timevarying_r,33,11.8,8,M4_delayed_info,False
D6_timevarying_r,33,11.8,9,M1_autonomous_Schaefer,False
D6_timevarying_r,33,11.8,9,M1b_autonomous_Allee,True
