dgp,truth,sigma,rep,module,rmse_h1,rmse_h5,persist_h1,persist_h5,retained
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,M1_autonomous_Schaefer,10.192509391643869,11.151981894347076,16.8549556685145,12.736741377900566,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,M1b_autonomous_Allee,16.94267948347217,24.919185984183546,16.8549556685145,12.736741377900566,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,M2_stockflow_regimeC,10.192509391643869,11.151981894347076,16.8549556685145,12.736741377900566,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,M3_AR_residual,10.39713557609072,11.17435144075494,16.8549556685145,12.736741377900566,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,M4_delayed_info,10.527053087591213,11.128412095520474,16.8549556685145,12.736741377900566,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,1,M1_autonomous_Schaefer,12.676422927314206,13.303407565852869,18.26589700202063,18.28699077612983,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,1,M1b_autonomous_Allee,19.00817069428994,31.144988052380967,18.26589700202063,18.28699077612983,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,1,M2_stockflow_regimeC,12.676422927314206,13.303407565852869,18.26589700202063,18.28699077612983,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,1,M3_AR_residual,12.873829652980818,13.417571855381327,18.26589700202063,18.28699077612983,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,1,M4_delayed_info,12.303220089428525,13.236520631054269,18.26589700202063,18.28699077612983,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,2,M1_autonomous_Schaefer,9.429021510746452,9.702091668483227,18.87569827597795,11.616400685467092,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,2,M1b_autonomous_Allee,17.540108730792102,17.789828582637142,18.87569827597795,11.616400685467092,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,2,M2_stockflow_regimeC,9.429021510746452,9.702091668483227,18.87569827597795,11.616400685467092,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,2,M3_AR_residual,9.27123755201332,12.820730596549401,18.87569827597795,11.616400685467092,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,2,M4_delayed_info,15.279319687502964,9.305631154176359,18.87569827597795,11.616400685467092,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,3,M1_autonomous_Schaefer,12.769889194284273,15.740079624556895,26.13188009254352,21.55459675857923,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,3,M1b_autonomous_Allee,21.2961387971733,35.902894350286275,26.13188009254352,21.55459675857923,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,3,M2_stockflow_regimeC,12.769889194284273,15.740079624556895,26.13188009254352,21.55459675857923,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,3,M3_AR_residual,13.237306371567838,15.719108929264806,26.13188009254352,21.55459675857923,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,3,M4_delayed_info,15.003934714382394,15.792403081919929,26.13188009254352,21.55459675857923,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,4,M1_autonomous_Schaefer,12.327365744016223,15.691773159125967,27.97387611865503,22.017637408944065,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,4,M1b_autonomous_Allee,24.16635345730864,31.51703355058338,27.97387611865503,22.017637408944065,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,4,M2_stockflow_regimeC,12.327365744016223,15.691773159125967,27.97387611865503,22.017637408944065,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,4,M3_AR_residual,12.06248378630114,15.727955648956973,27.97387611865503,22.017637408944065,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,4,M4_delayed_info,14.708040595434978,15.68563222237972,27.97387611865503,22.017637408944065,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,5,M1_autonomous_Schaefer,12.741570267978318,12.478388052966517,17.089810315182728,14.616103501298772,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,5,M1b_autonomous_Allee,16.501116097658674,18.989504553249027,17.089810315182728,14.616103501298772,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,5,M2_stockflow_regimeC,12.741570267978318,12.478388052966517,17.089810315182728,14.616103501298772,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,5,M3_AR_residual,12.747918944587017,12.476139770443373,17.089810315182728,14.616103501298772,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,5,M4_delayed_info,12.106008840697617,12.464513931440425,17.089810315182728,14.616103501298772,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,6,M1_autonomous_Schaefer,13.416144020021369,14.823791747915774,24.917673326505792,18.897720047065256,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,6,M1b_autonomous_Allee,24.362031972493156,22.10394686437509,24.917673326505792,18.897720047065256,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,6,M2_stockflow_regimeC,13.416144020021369,14.823791747915774,24.917673326505792,18.897720047065256,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,6,M3_AR_residual,14.17599294593443,15.009457679291874,24.917673326505792,18.897720047065256,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,6,M4_delayed_info,14.769656325590656,14.699078910750078,24.917673326505792,18.897720047065256,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,7,M1_autonomous_Schaefer,12.925102966530288,15.507979337561885,23.41551514038484,22.688401610347686,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,7,M1b_autonomous_Allee,17.082863281545638,19.96525933038146,23.41551514038484,22.688401610347686,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,7,M2_stockflow_regimeC,12.925102966530288,15.507979337561885,23.41551514038484,22.688401610347686,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,7,M3_AR_residual,13.270710386476317,15.528860299552699,23.41551514038484,22.688401610347686,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,7,M4_delayed_info,13.646020932319836,15.527895111770764,23.41551514038484,22.688401610347686,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,8,M1_autonomous_Schaefer,11.612375038075752,12.453082315753607,19.75625548969949,17.06555748566522,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,8,M1b_autonomous_Allee,15.045597484530353,16.863852749882824,19.75625548969949,17.06555748566522,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,8,M2_stockflow_regimeC,11.612375038075752,12.453082315753607,19.75625548969949,17.06555748566522,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,8,M3_AR_residual,11.800352629332815,12.441756932590792,19.75625548969949,17.06555748566522,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,8,M4_delayed_info,13.185820004100512,12.474631227700145,19.75625548969949,17.06555748566522,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,9,M1_autonomous_Schaefer,15.395416807475957,18.077300981153794,29.07702424072,22.440453333576084,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,9,M1b_autonomous_Allee,26.833375652587243,32.24046956029496,29.07702424072,22.440453333576084,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,9,M2_stockflow_regimeC,15.395416807475957,18.077300981153794,29.07702424072,22.440453333576084,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,9,M3_AR_residual,15.949244474824935,19.9563804360069,29.07702424072,22.440453333576084,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,9,M4_delayed_info,19.964694781971286,16.831665541745526,29.07702424072,22.440453333576084,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,10,M1_autonomous_Schaefer,11.271909208070237,13.748573824054722,22.44570086463155,22.598325255304808,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,10,M1b_autonomous_Allee,17.574361380636944,25.402046134518937,22.44570086463155,22.598325255304808,False
