origin,horizon,model,obs,pred,q,below_lrp_obs,below_lrp_pred,sqerr,abserr,log_sqerr
1990,1,M2_survey_start,734.51,987.5215310794324,0.00048138965222599113,1,0,64014.8348591586,253.01153107943242,0.08761285647101345
1990,5,M2_survey_start,9.68,1022.5009961492262,0.00048138965222599113,1,0,1025806.370240711,1012.8209961492263,21.715087038217188
1991,1,M2_survey_start,381.95,956.5349664704768,0.0005295497119461406,1,0,330147.8836938789,574.5849664704767,0.8427747384604534
1991,5,M2_survey_start,16.05,1054.6069103760317,0.0005295497119461406,1,0,1078600.4560898088,1038.5569103760317,17.516020662983074
1992,1,M2_survey_start,101.05,167.24715058832055,0.0005933646901817365,1,1,4382.062746012788,66.19715058832055,0.25387209630447616
1992,5,M2_survey_start,20.57,402.72058365084166,0.0005933646901817365,1,1,146039.06858467893,382.15058365084167,8.847110547062876
1993,1,M2_survey_start,30.55,72.34560890858168,0.0006571796684173325,1,1,1746.8729240391126,41.795608908581684,0.7431992944297661
1993,5,M2_survey_start,28.25,158.38194006120054,0.0006571796684173325,1,1,16934.32182409189,130.13194006120054,2.9718863768576647
1994,1,M2_survey_start,9.68,17.88130220395819,0.0006790120764390988,1,1,67.26135784064945,8.201302203958189,0.3766199525149222
1994,5,M2_survey_start,34.59,22.724804006895166,0.0006790120764390988,1,1,140.78287595479108,11.865195993104837,0.17649040186407822
1995,1,M2_survey_start,16.05,33.2264496597805,0.0006571796684173325,1,1,295.0304229149736,17.1764496597805,0.5294561650211159
1995,5,M2_survey_start,34.42,52.732344117760476,0.0006571796684173325,1,1,335.34194708727665,18.312344117760475,0.1819800663168437
1996,1,M2_survey_start,20.57,27.493004404456848,0.0005933646901817365,1,1,47.92798998412891,6.923004404456847,0.08415678192632876
1996,5,M2_survey_start,29.5,28.830391447467107,0.0005933646901817365,1,1,0.4483756136251955,0.6696085525328925,0.0005271695903501175
1997,1,M2_survey_start,28.25,15.97815862911609,0.0006571796684173325,1,1,150.59809063213788,12.27184137088391,0.324752675821359
1997,5,M2_survey_start,23.87,0.03447802271947076,0.0006571796684173325,1,1,568.1321079294231,23.83552197728053,42.772327524527405
1998,1,M2_survey_start,34.59,15.556706228666282,0.0006790120764390988,1,1,362.26627178589104,19.03329377133372,0.6385173533942574
1998,5,M2_survey_start,22.07,9.161978722680193,0.0006790120764390988,1,1,166.6170132957409,12.908021277319808,0.7729171135556814
1999,1,M2_survey_start,34.42,43.795850566210255,0.0006571796684173325,1,1,87.90657383990514,9.375850566210254,0.05803342968317941
1999,5,M2_survey_start,20.07,80.16811027464351,0.0006571796684173325,1,1,3611.7828585832117,60.09811027464351,1.9179470280817508
2000,1,M2_survey_start,29.5,47.80794439384477,0.0006136894830885436,1,1,335.1808279281122,18.30794439384477,0.23309734928340542
2000,5,M2_survey_start,25.18,99.12878658326754,0.0006136894830885436,1,1,5468.423037137651,73.94878658326755,1.8779135276872896
2001,1,M2_survey_start,23.87,40.31715245116491,0.0005701992977597548,1,1,270.50882375185984,16.447152451164907,0.2747379998202905
2001,5,M2_survey_start,40.83,86.28702564303482,0.0005701992977597548,1,1,2066.3411803115255,45.457025643034825,0.5598962320763315
2002,1,M2_survey_start,22.07,41.35992899785847,0.0005498745048529478,1,1,372.101360742421,19.289928997858468,0.39450118501790254
2002,5,M2_survey_start,81.1,86.37005350831399,0.0005498745048529478,1,1,27.77346398049262,5.2700535083139926,0.003963716273222396
2003,1,M2_survey_start,20.07,27.392668968004823,0.0005295497119461406,1,1,53.62148081498082,7.322668968004823,0.09675164144611227
2003,5,M2_survey_start,106.65,50.074423591978864,0.0005295497119461406,1,1,3200.7958458998382,56.57557640802114,0.5715996181508733
2004,1,M2_survey_start,25.18,39.02727091091736,0.000522235017891831,1,1,191.7469116803381,13.84727091091736,0.19202855385698847
2004,5,M2_survey_start,104.56,73.71345744982429,0.000522235017891831,1,1,951.5091872998007,30.846542550175712,0.12220316240878723
2005,1,M2_survey_start,40.83,36.17629090090051,0.0005149203238375213,1,1,21.657008379041358,4.653709099099487,0.014644182124524554
2005,5,M2_survey_start,96.91,66.51348061285616,0.0005149203238375213,1,1,923.9483908530113,30.39651938714384,0.14166045131041843
2006,1,M2_survey_start,81.1,48.57200283202642,0.0005042118389599161,1,1,1058.0705997596967,32.527997167973574,0.2627953297709045
2006,5,M2_survey_start,90.56,93.97628919163942,0.0005042118389599161,1,1,11.671031840912333,3.4162891916394216,0.0013712130018434824
2007,1,M2_survey_start,106.65,77.94812897082697,0.0005149203238375213,1,1,823.7974005752824,28.701871029173034,0.09828780068468344
2007,5,M2_survey_start,112.12,160.72066586809078,0.0005149203238375213,1,1,2362.024722821803,48.60066586809077,0.12967066843898858
2008,1,M2_survey_start,104.56,87.90660952941501,0.000522235017891831,1,1,277.3354141657711,16.653390470584995,0.030097417773222657
2008,5,M2_survey_start,169.17,181.65712306168956,0.000522235017891831,1,1,155.92824235777957,12.487123061689573,0.005071838943758588
2009,1,M2_survey_start,96.91,111.20895377733483,0.0005295497119461406,1,1,204.460079126358,14.29895377733483,0.018941517418931422
2009,5,M2_survey_start,250.12,230.86293442832462,0.0005295497119461406,1,1,370.8345744318054,19.257065571675383,0.006418673719425366
2010,1,M2_survey_start,90.56,90.65401392099356,0.0005498745048529478,1,1,0.008838617340583506,0.09401392099356087,1.0766160275671932e-06
2010,5,M2_survey_start,298.65,183.23382599731332,0.0005498745048529478,1,1,13320.893221418444,115.41617400268666,0.23864128172627913
2011,1,M2_survey_start,112.12,70.88766045175672,0.0005701992977597548,1,1,1700.1058246216276,41.23233954824329,0.21019781219131425
2012,1,M2_survey_start,169.17,115.70689162160312,0.0005838749444834,1,1,2858.303957480209,53.46310837839687,0.14428141076591153
2013,1,M2_survey_start,250.12,223.06109348915516,0.0005701992977597548,1,1,732.1844215626418,27.05890651084485,0.01310912950974262
2014,1,M2_survey_start,298.65,310.7545410325154,0.0005549884648738002,1,1,146.51991360785001,12.104541032515442,0.001578554287426103
