omega,window,model,train,test,n,rmse,mae,log_rmse,brier_below_lrp,direction_hit,r,K,s_allee,phi,ok
xteNCAM,pre_to_collapse,M1_autonomous_Schaefer,1954-1989,1990-1995,6,817.2605328244521,732.1099445128898,2.7652373058214588,0.5,0.0,0.884655731020124,1846.4661240472512,,0.7538480515150504,True
xteNCAM,pre_to_collapse,M1b_autonomous_Allee,1954-1989,1990-1995,6,905.6193209918655,800.232740373291,2.8442252873087996,0.5,0.0,1.86202570566337,1643.2734255841056,1.585137445354093e-07,0.8422595731282061,True
xteNCAM,pre_to_collapse,M2_stockflow_regimeC,1954-1989,1990-1995,6,1897.6694982561396,1656.9833551781333,3.390783181534082,0.5,0.0,0.6545625014614176,2980.411047024433,,0.6505150125343894,True
xteNCAM,pre_to_collapse,M3_AR_residual,1954-1989,1990-1995,6,1767.7504224238621,1512.621346261177,3.3367966773878353,0.5,0.0,0.6545625014614176,2980.411047024433,,0.6505150125343894,True
xteNCAM,pre_to_collapse,M4_delayed_info,1954-1989,1990-1995,6,1871.9212496170294,1636.9841390374638,3.380656550174135,0.5,0.0,0.6545625014614176,2980.411047024433,,0.6505150125343894,True
xteNCAM,recovery_stall,M1_autonomous_Schaefer,1995-2012,2013-2024,12,254.33089207769729,239.2549035947084,1.099179250861585,0.75,0.7272727272727273,0.5074845934620372,127.0,,0.47287935728543135,True
xteNCAM,recovery_stall,M1b_autonomous_Allee,1995-2012,2013-2024,12,178.01757575611964,162.7360318433342,0.6641778341440611,0.5833333333333334,0.7272727272727273,0.5121263698900651,499.998359215892,0.005290485756832073,0.46003662760746894,True
xteNCAM,recovery_stall,M2_stockflow_regimeC,1995-2012,2013-2024,12,268.8187104689239,252.39565610988214,1.2287465977578325,0.75,0.45454545454545453,0.5189223738830628,127.0,,0.4288611068629324,True
xteNCAM,recovery_stall,M3_AR_residual,1995-2012,2013-2024,12,267.6880125078038,250.57261657923974,1.2174442770342837,0.75,0.36363636363636365,0.5189223738830628,127.0,,0.4288611068629324,True
xteNCAM,recovery_stall,M4_delayed_info,1995-2012,2013-2024,12,268.75430640831087,252.49585904738478,1.2283270288509782,0.75,0.45454545454545453,0.5189223738830628,127.0,,0.4288611068629324,True
