model,horizon,n,rmse,mae,log_rmse,brier
M1_autonomous_Schaefer,1,59,119.46623345886358,93.73334189389858,6.6104654810961,0.05084745762711865
M1_autonomous_Schaefer,5,55,431.90008027520406,335.7146974497258,9.793872301396807,0.45454545454545453
M1b_autonomous_Allee,1,59,151.63189085245853,117.64883346397822,7.010420494514953,0.15254237288135594
M1b_autonomous_Allee,5,55,445.47768228841574,344.06196730916975,11.148623495987131,0.4727272727272727
M2_stockflow_regimeC,1,59,166.0358277367836,106.23910351191921,0.49158291059865505,0.06779661016949153
M2_stockflow_regimeC,5,55,1058.888945463183,758.7410957212263,5.109000046897507,0.36363636363636365
M3_AR_residual,1,59,126.74473412643252,80.17622142993301,2.1864099589873796,0.01694915254237288
M3_AR_residual,5,55,930.1307020115316,650.7872904477197,5.737344637048327,0.3090909090909091
M4_delayed_info,1,59,205.70342766289838,127.78602261215151,1.3896061519791971,0.06779661016949153
M4_delayed_info,5,55,1030.736155387145,740.2344469780485,5.6270347203254,0.38181818181818183
naive_persist,1,63,87.64964527857667,61.12698412698413,0.35160246054385647,0.06349206349206349
naive_persist,5,59,317.7103200363928,236.25423728813558,1.230905312561434,0.2711864406779661
naive_train_mean,1,63,448.8155366841646,387.5088878833321,1.7272125825888702,0.4126984126984127
naive_train_mean,5,59,506.3932290719367,438.90635215638946,1.8364834154400047,0.4406779661016949
