floor,policy,C,n_years,Tinf_lower_boundary
q05,BAU,5.0,5,1298.7
q05,BAU,5.0,10,1540.7
q05,BAU,5.0,15,1697.8
q05,flat_0,0.0,5,1280.8
q05,flat_0,0.0,10,1510.5
q05,flat_0,0.0,15,1657.6
q05,flat_25,60.0,5,1499.6
q05,flat_25,60.0,10,1893.2
q05,flat_25,60.0,15,2193.4
q05,flat_50,120.0,5,1727.7
q05,flat_50,120.0,10,2329.0
q05,flat_50,120.0,15,2898.1
q05,flat_75,180.0,5,1999.0
q05,flat_75,180.0,10,2869.7
q05,flat_75,180.0,15,3986.2
q05,flat_100,240.0,5,2623.1
q05,flat_100,240.0,10,4013.4
q05,flat_100,240.0,15,8790.9
q05,S1,60.0,5,1499.6
q05,S1,60.0,10,1893.2
q05,S1,60.0,15,2193.4
q05,cpm,60.0,5,1499.6
q05,cpm,60.0,10,1893.2
q05,cpm,60.0,15,2193.4
worst,BAU,5.0,5,1450.0
worst,BAU,5.0,10,1803.7
worst,BAU,5.0,15,2062.3
worst,flat_0,0.0,5,1431.6
worst,flat_0,0.0,10,1770.9
worst,flat_0,0.0,15,2015.3
worst,flat_25,60.0,5,1656.7
worst,flat_25,60.0,10,2188.8
worst,flat_25,60.0,15,2657.5
worst,flat_50,120.0,5,1891.7
worst,flat_50,120.0,10,2671.8
worst,flat_50,120.0,15,3562.3
worst,flat_75,180.0,5,2172.3
worst,flat_75,180.0,10,3285.8
worst,flat_75,180.0,15,5180.7
worst,flat_100,240.0,5,2825.0
worst,flat_100,240.0,10,4687.8
worst,flat_100,240.0,15,
worst,S1,60.0,5,1656.7
worst,S1,60.0,10,2188.8
worst,S1,60.0,15,2657.5
worst,cpm,60.0,5,1656.7
worst,cpm,60.0,10,2188.8
worst,cpm,60.0,15,2657.5
