scheme,policy,S0,T,P_stay
iid,BAU,884.6,5,0.9002
iid,flat_0,884.6,5,0.9023
iid,flat_25,884.6,5,0.8324
iid,flat_50,884.6,5,0.6624
iid,S1,884.6,5,0.8324
iid,cpm,884.6,5,0.8324
iid,BAU,884.6,10,0.9013
iid,flat_0,884.6,10,0.9034
iid,flat_25,884.6,10,0.8354
iid,flat_50,884.6,10,0.6464
iid,S1,884.6,10,0.8354
iid,cpm,884.6,10,0.8354
iid,BAU,884.6,20,0.9031
iid,flat_0,884.6,20,0.9056
iid,flat_25,884.6,20,0.8353
iid,flat_50,884.6,20,0.6466
iid,S1,884.6,20,0.8353
iid,cpm,884.6,20,0.8353
iid,BAU,861.9,5,0.8863
iid,flat_0,861.9,5,0.8994
iid,flat_25,861.9,5,0.8266
iid,flat_50,861.9,5,0.6072
iid,S1,861.9,5,0.8266
iid,cpm,861.9,5,0.8266
iid,BAU,861.9,10,0.8843
iid,flat_0,861.9,10,0.8969
iid,flat_25,861.9,10,0.8247
iid,flat_50,861.9,10,0.5803
iid,S1,861.9,10,0.8247
iid,cpm,861.9,10,0.8247
iid,BAU,861.9,20,0.8832
iid,flat_0,861.9,20,0.8958
iid,flat_25,861.9,20,0.8246
iid,flat_50,861.9,20,0.5805
iid,S1,861.9,20,0.8246
iid,cpm,861.9,20,0.8246
iid,BAU,1000.0,5,0.9157
iid,flat_0,1000.0,5,0.9157
iid,flat_25,1000.0,5,0.9008
iid,flat_50,1000.0,5,0.8217
iid,S1,1000.0,5,0.9008
iid,cpm,1000.0,5,0.9008
iid,BAU,1000.0,10,0.9156
iid,flat_0,1000.0,10,0.9157
iid,flat_25,1000.0,10,0.8998
iid,flat_50,1000.0,10,0.8084
iid,S1,1000.0,10,0.8998
iid,cpm,1000.0,10,0.8998
iid,BAU,1000.0,20,0.9141
iid,flat_0,1000.0,20,0.9141
iid,flat_25,1000.0,20,0.8994
iid,flat_50,1000.0,20,0.8033
iid,S1,1000.0,20,0.8994
iid,cpm,1000.0,20,0.8994
iid,BAU,1500.0,5,1.0
iid,flat_0,1500.0,5,1.0
iid,flat_25,1500.0,5,0.9999
iid,flat_50,1500.0,5,0.9992
iid,S1,1500.0,5,0.9999
iid,cpm,1500.0,5,0.9999
iid,BAU,1500.0,10,1.0
iid,flat_0,1500.0,10,1.0
iid,flat_25,1500.0,10,1.0
iid,flat_50,1500.0,10,0.9986
iid,S1,1500.0,10,1.0
iid,cpm,1500.0,10,1.0
iid,BAU,1500.0,20,1.0
iid,flat_0,1500.0,20,1.0
iid,flat_25,1500.0,20,0.9999
iid,flat_50,1500.0,20,0.999
iid,S1,1500.0,20,0.9999
iid,cpm,1500.0,20,0.9999
iid,BAU,2000.0,5,1.0
iid,flat_0,2000.0,5,1.0
iid,flat_25,2000.0,5,1.0
iid,flat_50,2000.0,5,1.0
iid,S1,2000.0,5,1.0
iid,cpm,2000.0,5,1.0
iid,BAU,2000.0,10,1.0
iid,flat_0,2000.0,10,1.0
iid,flat_25,2000.0,10,1.0
iid,flat_50,2000.0,10,1.0
iid,S1,2000.0,10,1.0
iid,cpm,2000.0,10,1.0
iid,BAU,2000.0,20,1.0
iid,flat_0,2000.0,20,1.0
iid,flat_25,2000.0,20,1.0
iid,flat_50,2000.0,20,1.0
iid,S1,2000.0,20,1.0
iid,cpm,2000.0,20,1.0
iid,BAU,2500.0,5,1.0
iid,flat_0,2500.0,5,1.0
iid,flat_25,2500.0,5,1.0
iid,flat_50,2500.0,5,1.0
iid,S1,2500.0,5,1.0
iid,cpm,2500.0,5,1.0
iid,BAU,2500.0,10,1.0
iid,flat_0,2500.0,10,1.0
iid,flat_25,2500.0,10,1.0
iid,flat_50,2500.0,10,1.0
iid,S1,2500.0,10,1.0
iid,cpm,2500.0,10,1.0
iid,BAU,2500.0,20,1.0
iid,flat_0,2500.0,20,1.0
iid,flat_25,2500.0,20,1.0
iid,flat_50,2500.0,20,1.0
iid,S1,2500.0,20,1.0
iid,cpm,2500.0,20,1.0
block4,BAU,884.6,5,0.8517
block4,flat_0,884.6,5,0.8517
block4,flat_25,884.6,5,0.809
block4,flat_50,884.6,5,0.7483
block4,S1,884.6,5,0.809
block4,cpm,884.6,5,0.809
block4,BAU,884.6,10,0.8537
block4,flat_0,884.6,10,0.8537
block4,flat_25,884.6,10,0.8091
block4,flat_50,884.6,10,0.6606
block4,S1,884.6,10,0.8091
block4,cpm,884.6,10,0.8091
block4,BAU,884.6,20,0.8515
block4,flat_0,884.6,20,0.8515
block4,flat_25,884.6,20,0.8065
block4,flat_50,884.6,20,0.6499
block4,S1,884.6,20,0.8065
block4,cpm,884.6,20,0.8065
block4,BAU,861.9,5,0.8532
block4,flat_0,861.9,5,0.8532
block4,flat_25,861.9,5,0.8101
block4,flat_50,861.9,5,0.668
block4,S1,861.9,5,0.8101
block4,cpm,861.9,5,0.8101
block4,BAU,861.9,10,0.8514
block4,flat_0,861.9,10,0.8515
block4,flat_25,861.9,10,0.81
block4,flat_50,861.9,10,0.6155
block4,S1,861.9,10,0.81
block4,cpm,861.9,10,0.81
block4,BAU,861.9,20,0.8425
block4,flat_0,861.9,20,0.8428
block4,flat_25,861.9,20,0.7962
block4,flat_50,861.9,20,0.5937
block4,S1,861.9,20,0.7962
block4,cpm,861.9,20,0.7962
block4,BAU,1000.0,5,0.8589
block4,flat_0,1000.0,5,0.8589
block4,flat_25,1000.0,5,0.8116
