scheme,C,P_stay
iid,0.0,0.9056
iid,2.5,0.9053
iid,5.0,0.9034
iid,7.5,0.9013
iid,10.0,0.9009
iid,12.5,0.9008
iid,15.0,0.8988
iid,17.5,0.8903
iid,20.0,0.8818
iid,22.5,0.8691
iid,25.0,0.8609
iid,27.5,0.8584
iid,30.0,0.8552
iid,32.5,0.8531
iid,35.0,0.8522
iid,37.5,0.8501
iid,40.0,0.8485
iid,42.5,0.8477
iid,45.0,0.8466
iid,47.5,0.8448
iid,50.0,0.842
iid,52.5,0.84
iid,55.0,0.8387
iid,57.5,0.8374
iid,60.0,0.8362
iid,62.5,0.8347
iid,65.0,0.8334
iid,67.5,0.8299
iid,70.0,0.826
iid,72.5,0.8237
iid,75.0,0.8175
iid,77.5,0.81
iid,80.0,0.8034
iid,82.5,0.7961
iid,85.0,0.791
iid,87.5,0.7864
iid,90.0,0.7477
iid,92.5,0.7422
iid,95.0,0.7386
iid,97.5,0.707
iid,100.0,0.704
iid,102.5,0.7
iid,105.0,0.6947
iid,107.5,0.6872
iid,110.0,0.679
iid,112.5,0.6712
iid,115.0,0.6645
iid,117.5,0.6577
iid,120.0,0.6479
iid,122.5,0.6394
block4,0.0,0.8492
block4,2.5,0.8492
block4,5.0,0.8488
block4,7.5,0.8488
block4,10.0,0.8488
block4,12.5,0.8488
block4,15.0,0.8488
block4,17.5,0.8105
block4,20.0,0.8105
block4,22.5,0.8105
block4,25.0,0.8105
block4,27.5,0.8105
block4,30.0,0.8105
block4,32.5,0.8105
block4,35.0,0.8105
block4,37.5,0.8105
block4,40.0,0.8105
block4,42.5,0.8105
block4,45.0,0.8102
block4,47.5,0.8101
block4,50.0,0.8101
block4,52.5,0.8096
block4,55.0,0.8096
block4,57.5,0.8089
block4,60.0,0.8072
block4,62.5,0.8071
block4,65.0,0.8065
block4,67.5,0.8057
block4,70.0,0.8013
block4,72.5,0.7999
block4,75.0,0.7991
block4,77.5,0.796
block4,80.0,0.794
block4,82.5,0.7919
block4,85.0,0.7904
block4,87.5,0.7859
block4,90.0,0.7333
block4,92.5,0.727
block4,95.0,0.7168
block4,97.5,0.7105
block4,100.0,0.7045
block4,102.5,0.7026
block4,105.0,0.7012
block4,107.5,0.6972
block4,110.0,0.6947
block4,112.5,0.686
block4,115.0,0.6781
block4,117.5,0.6654
block4,120.0,0.6564
block4,122.5,0.649
iid_no1992,0.0,0.9529
iid_no1992,2.5,0.9529
iid_no1992,5.0,0.9528
iid_no1992,7.5,0.9511
iid_no1992,10.0,0.951
iid_no1992,12.5,0.9509
iid_no1992,15.0,0.9509
iid_no1992,17.5,0.9489
iid_no1992,20.0,0.9432
iid_no1992,22.5,0.9375
iid_no1992,25.0,0.9292
iid_no1992,27.5,0.9291
iid_no1992,30.0,0.927
iid_no1992,32.5,0.9251
iid_no1992,35.0,0.9248
iid_no1992,37.5,0.9247
iid_no1992,40.0,0.9227
iid_no1992,42.5,0.9224
iid_no1992,45.0,0.9221
iid_no1992,47.5,0.9214
iid_no1992,50.0,0.9199
iid_no1992,52.5,0.9184
iid_no1992,55.0,0.9176
iid_no1992,57.5,0.9174
iid_no1992,60.0,0.9164
iid_no1992,62.5,0.916
iid_no1992,65.0,0.9153
iid_no1992,67.5,0.9145
iid_no1992,70.0,0.9115
iid_no1992,72.5,0.9102
iid_no1992,75.0,0.9089
iid_no1992,77.5,0.9023
iid_no1992,80.0,0.8983
iid_no1992,82.5,0.8943
iid_no1992,85.0,0.8914
iid_no1992,87.5,0.8887
iid_no1992,90.0,0.8475
iid_no1992,92.5,0.8444
iid_no1992,95.0,0.8414
iid_no1992,97.5,0.8064
iid_no1992,100.0,0.805
iid_no1992,102.5,0.8032
iid_no1992,105.0,0.8003
iid_no1992,107.5,0.7966
iid_no1992,110.0,0.7916
iid_no1992,112.5,0.7866
iid_no1992,115.0,0.7832
iid_no1992,117.5,0.7797
iid_no1992,120.0,0.7732
iid_no1992,122.5,0.7653
