Drainage_basin_ID	Drainage_Area	Map_Identifier	USGS_Station_number	USGS_Station_Name	Latitude	Longitude
Drainage_basin_1	Nueces-West Nueces River drainage basin	1	08190000	"Nueces River at Laguna, Texas"	29.4286	-99.9973
Drainage_basin_1	Nueces-West Nueces River drainage basin	2	08190500	"West Nueces River near Brackettville, Texas"	29.4811	-100.2392
Drainage_basin_1	Nueces-West Nueces River drainage basin	3	08192000	"Nueces River below Uvalde, Texas"	29.1239	-99.8948
Drainage_basin_2	Frio-Dry Frio River drainage basin	4	08195000	"Frio River at Concan, Texas"	29.4886	-99.7048
Drainage_basin_2	Frio-Dry Frio River drainage basin	5	08196000	"Dry Frio River near Reagan Wells, Texas"	29.5047	-99.7814
Drainage_basin_2	Frio-Dry Frio River drainage basin	6	08197500	"Frio River below Dry Frio River near Uvalde, Texas"	29.2458	-99.6745
Drainage_basin_3	Sabinal River drainage basin	7	08198000	"Sabinal River near Sabinal, Texas"	29.4911	-99.4928
Drainage_basin_3	Sabinal River drainage basin	8	08198500	"Sabinal River at Sabinal, Texas"	29.3143	-99.4805
Drainage_basin_4	Area between the Sabinal and Medina River drainage basins	9	08201500	"Seco Creek at Miller Ranch near Utopia, Texas"	29.5733	-99.4031
Drainage_basin_4	Area between the Sabinal and Medina River drainage basins	10	08202700	"Seco Creek at Rowe Ranch near D'Hanis, Texas"	29.3708	-99.2878
Drainage_basin_4	Area between the Sabinal and Medina River drainage basins	11	08200000	"Hondo Creek near Tarpley, Texas"	29.5700	-99.2477
Drainage_basin_4	Area between the Sabinal and Medina River drainage basins	12	08200720	"Hondo Creek at SH 173 near Hondo, Texas"	29.3761	-99.1167
Drainage_basin_4	Area between the Sabinal and Medina River drainage basins	13	08178880	"Medina River at Bandera, Texas"	29.7238	-99.0700
Drainage_basin_5	Medina River drainage basin	14	08179500	"Medina Lake near San Antonio, Texas"	29.5402	-98.9339
Drainage_basin_6	Area between the Medina River and Cibolo-Dry Comal Creek drainage basins	15	08178700	"Salado Creek at Loop 410 at San Antonio, Texas"	29.5161	-98.4311
Drainage_basin_6	Area between the Medina River and Cibolo-Dry Comal Creek drainage basins	13	08178880	"Medina River at Bandera, Texas"	29.7238	-99.0700
Drainage_basin_6	Area between the Medina River and Cibolo-Dry Comal Creek drainage basins	16	08167000	"Guadalupe River at Comfort, Texas"	29.9652	-98.8972
Drainage_basin_6	Area between the Medina River and Cibolo-Dry Comal Creek drainage basins	17	08167500	"Guadalupe River near Spring Branch, Texas"	29.8605	-98.3836
Drainage_basin_7	Cibolo and Dry Comal Creek drainage basin	16	08167000	"Guadalupe River at Comfort, Texas"	29.9652	-98.8972
Drainage_basin_7	Cibolo and Dry Comal Creek drainage basin	17	08167500	"Guadalupe River near Spring Branch, Texas"	29.8605	-98.3836
Drainage_basin_7	Cibolo and Dry Comal Creek drainage basin	18	08183900	"Cibolo Creek nr Boerne, Texas"	29.7750	-98.7095
Drainage_basin_7	Cibolo and Dry Comal Creek drainage basin	19	08185000	"Cibolo Creek at Selma, Texas"	29.5941	-98.3111
Drainage_basin_7	Cibolo and Dry Comal Creek drainage basin	20	08167800	"Guadalupe River at Sattler, Texas"	29.8591	-98.1800
Drainage_basin_7	Cibolo and Dry Comal Creek drainage basin	21	08168000	"Hueco Springs near New Braunfels, Texas"	29.7594	-98.1400
Drainage_basin_7	Cibolo and Dry Comal Creek drainage basin	22	08168500	"Guadalupe River abv Comal River at New Braunfels, Texas"	29.7149	-98.1100
Drainage_basin_7	Cibolo and Dry Comal Creek drainage basin	23	08168710	"Comal Springs at New Braunfels, Texas"	29.7061	-98.1225
Drainage_basin_7	Cibolo and Dry Comal Creek drainage basin	24	08169000	"Comal River at New Braunfels, Texas"	29.7064	-98.1222
Drainage_basin_9	Blanco River drainage basin	20	08167800	"Guadalupe River at Sattler, Texas"	29.8591	-98.1800
Drainage_basin_9	Blanco River drainage basin	21	08168000	"Hueco Springs near New Braunfels, Texas"	29.7594	-98.1400
Drainage_basin_9	Blanco River drainage basin	22	08168500	"Guadalupe River abv Comal River at New Braunfels, Texas"	29.7149	-98.1100
Drainage_basin_9	Blanco River drainage basin	23	08168710	"Comal Springs at New Braunfels, Texas"	29.7061	-98.1225
Drainage_basin_9	Blanco River drainage basin	24	08169000	"Comal River at New Braunfels, Texas"	29.7064	-98.1222
Drainage_basin_9	Blanco River drainage basin	25	08171000	"Blanco River at Wimberly, Texas"	29.9944	-98.0889
Drainage_basin_9	Blanco River drainage basin	26	08171300	"Blanco River near Kyle, Texas"	29.9794	-97.9100
Drainage_basin_9	Blanco River drainage basin	27	08172400	"Plum Creek at Lockhart, Texas"	29.9230	-97.6792
