year,n_days,H_mean,H_min,H_max,n_provisional,R_total,R_east,P_wells,Q_springs_total,n_comal,Q_comal,Q_comal_min,n_comal_provisional,n_comal_estimated,nino34_son,nino34_ann,pcp_cd06,pcp_cd07,pcp_mean
1927,,,,,,,,,,13,,294.0,0,0,-0.026111111111111047,-0.13525000000000129,22.970000000000002,27.369999999999997,25.17
1928,,,,,,,,,,352,287.17045454545456,262.0,0,0,-0.18944444444444505,-0.12441666666666833,23.660000000000004,30.259999999999998,26.96
1929,,,,,,,,,,353,288.78470254957506,259.0,0,0,0.24388888888888852,0.028083333333331833,22.270000000000003,38.989999999999995,30.63
1930,,,,,,,,,,356,272.6376404494382,246.0,0,0,1.3538888888888891,0.6589166666666649,24.3,31.309999999999995,27.805
1931,,,,,,,,,,356,319.7865168539326,270.0,0,0,-0.3561111111111117,0.39308333333333173,27.96,32.01,29.985
1932,45.0,,675.6,677.0,0.0,,,,,362,320.79834254143645,294.0,0,0,-0.05277777777777833,-0.06608333333333476,32.83,34.1,33.465
1933,294.0,673.6406462585035,671.74,677.01,0.0,,,,,365,309.8931506849315,286.0,0,0,-1.0294444444444448,-0.6852500000000017,14.929999999999998,27.72,21.325
1934,363.0,670.4065013774105,666.81,675.03,0.0,179.6,115.7,101.9,336.0,365,314.03561643835616,280.0,0,0,-0.3461111111111113,-0.550250000000001,16.23,33.7,24.965000000000003
1935,258.0,673.6804263565891,666.11,685.54,0.0,1258.2,431.8,103.7,415.9,365,326.2082191780822,286.0,0,0,0.16388888888888906,-0.22941666666666785,34.69,44.199999999999996,39.44499999999999
1936,314.0,680.1553503184713,676.62,683.02,0.0,909.6,389.3,112.7,485.5,366,360.7185792349727,322.0,0,0,0.03388888888888886,0.050583333333331794,29.959999999999997,39.83,34.894999999999996
1937,362.0,678.2729834254144,674.92,682.08,0.0,400.7,213.4,120.2,451.0,365,347.83561643835617,304.0,0,0,0.04722222222222191,-0.04858333333333439,21.080000000000002,27.450000000000003,24.265
1938,361.0,676.8616343490304,673.52,681.39,0.0,432.7,224.9,120.1,437.7,365,342.7890410958904,311.0,0,0,-0.6361111111111116,-0.5185833333333351,20.539999999999996,28.210000000000004,24.375
1939,242.0,670.1992975206612,665.69,674.11,0.0,399.0,72.4,118.9,313.9,365,299.8684931506849,245.0,0,0,0.05055555555555576,-0.24775000000000139,20.78,22.51,21.645000000000003
1940,329.0,665.1854407294833,660.96,671.43,0.0,308.8,117.7,120.1,296.5,366,278.0109289617486,252.0,0,0,0.3072222222222223,0.6797499999999989,27.860000000000003,41.45999999999999,34.66
1941,365.0,676.372,668.26,682.55,0.0,850.7,419.4,136.8,464.4,365,343.0191780821918,289.0,0,0,0.8972222222222209,1.0505833333333314,33.300000000000004,45.35999999999999,39.33
1942,360.0,676.4451944444444,669.74,685.54,0.0,557.8,240.8,144.6,450.1,365,348.3808219178082,304.0,0,0,-1.382777777777779,-0.5094166666666675,24.04,35.059999999999995,29.549999999999997
1943,345.0,673.1392173913043,668.51,679.58,0.0,273.1,149.4,149.1,390.2,365,339.9808219178082,301.0,0,0,-0.439444444444445,-0.5727500000000015,19.87,28.31,24.09
1944,295.0,672.1977966101695,667.13,677.62,0.0,560.9,321.7,147.3,420.1,366,345.25956284153006,309.0,0,0,-0.34277777777777746,-0.16358333333333488,28.05,37.53,32.79
1945,352.0,675.22375,668.81,681.91,0.0,527.8,299.99999999999994,153.3,461.5,365,359.7972602739726,324.0,0,0,-0.7527777777777777,-0.6860833333333346,22.599999999999998,31.669999999999998,27.134999999999998
1946,344.0,673.163284883721,663.61,681.15,0.0,556.1,352.5,155.0,428.9,365,358.9808219178082,301.0,0,0,-0.176111111111112,-0.2752500000000018,21.43,45.49,33.46
1947,284.0,672.0207394366197,665.81,680.7,0.0,422.6,210.6,167.0,426.5,365,352.1232876712329,305.0,0,0,-0.9127777777777778,-0.32358333333333505,18.43,26.159999999999997,22.294999999999998
1948,310.0,659.3478709677419,653.68,667.93,0.0,178.3,65.39999999999999,168.7,281.9,366,276.6775956284153,248.0,0,0,-0.38277777777777783,0.02058333333333214,17.6,23.2,20.4
1949,363.0,662.3477134986226,655.38,671.59,0.0,508.1,154.2,179.4,300.4,365,286.73150684931505,238.0,0,0,-0.9494444444444442,-0.5552500000000015,29.799999999999997,40.33,35.065
1950,365.0,659.4780273972603,653.76,665.38,0.0,200.2,82.9,193.8,272.9,365,260.654794520548,233.0,0,0,-1.1561111111111124,-1.1244166666666684,19.07,22.919999999999998,20.994999999999997
1951,365.0,648.3519452054794,640.63,656.01,0.0,139.9,59.50000000000001,209.7,215.9,365,203.227397260274,163.0,0,0,0.6972222222222229,0.06641666666666553,12.500000000000002,25.680000000000003,19.090000000000003
1952,366.0,642.6324863387978,633.44,650.49,0.0,275.5,198.5,215.4,209.5,366,181.1584699453552,118.0,0,0,-0.2861111111111126,-0.24525000000000188,17.499999999999996,31.890000000000004,24.695
1953,357.0,642.8683753501401,630.53,651.52,0.0,167.6,123.5,229.8,238.5,365,191.33698630136988,120.0,0,0,0.31055555555555614,0.25891666666666574,14.910000000000002,29.15,22.03
1954,339.0,635.8018289085546,628.09,646.38,0.0,162.1,50.2,246.2,178.1,365,135.1482191780822,72.0,0,0,-1.0861111111111121,-0.645250000000002,13.58,17.11,15.344999999999999
1955,362.0,630.8421546961325,624.24,638.49,0.0,192.0,33.6,261.0,127.8,365,90.213698630137,41.0,0,0,-1.6594444444444438,-1.2410833333333342,18.419999999999995,24.29,21.354999999999997
1956,366.0,623.1509836065574,612.51,632.22,0.0,43.7,18.7,321.1,69.8,366,31.80650273224044,0.0,0,0,-0.9227777777777781,-0.9169166666666678,10.1,17.5,13.8
1957,365.0,637.1188767123288,624.11,653.77,0.0,1142.6,705.4999999999999,237.3,219.2,365,145.73534246575343,39.0,0,0,0.737222222222222,0.41474999999999856,32.39,46.269999999999996,39.33
1958,362.0,666.7902486187845,652.15,679.56,0.0,1711.2,625.8,219.3,398.2,365,313.5753424657534,250.0,0,0,-0.14611111111111086,0.37141666666666556,30.03,40.16999999999999,35.099999999999994
1959,364.0,672.0067857142857,661.47,677.96,0.0,690.4,263.6,234.5,384.5,365,313.5150684931507,274.0,0,0,-0.24944444444444494,-0.07608333333333483,27.919999999999995,36.720000000000006,32.32
1960,365.0,671.7045205479452,657.86,679.39,0.0,824.8,416.1,227.1,428.3,366,317.27322404371586,270.0,0,0,-0.1861111111111112,-0.15025000000000066,22.39,44.73,33.56
1961,365.0,674.8342465753425,663.9,681.17,0.0,717.1,317.79999999999995,228.2,455.3,365,334.013698630137,294.0,0,0,-0.5261111111111111,-0.24858333333333485,23.630000000000003,33.91,28.77
1962,364.0,663.4681043956044,646.94,675.51,0.0,239.4,117.6,267.9,321.1,365,265.5260273972603,194.0,0,0,-0.48944444444444457,-0.39358333333333473,16.310000000000002,26.509999999999998,21.41
1963,355.0,651.8947323943662,635.02,665.8,0.0,170.7,88.7,276.4,239.6,365,207.56164383561645,125.0,0,0,0.6938888888888878,0.30141666666666495,16.759999999999998,20.66,18.71
1964,366.0,648.0771584699453,632.79,657.04,0.0,413.2,152.39999999999998,260.2,213.8,366,188.93715846994536,115.0,0,0,-1.0627777777777776,-0.6019166666666687,22.5,28.840000000000003,25.67
1965,365.0,659.6286849315069,645.64,675.11,0.0,623.5,315.4,256.1,322.8,365,260.9287671232877,194.0,0,0,1.4205555555555556,0.5414166666666658,23.3,39.72,31.509999999999998
1966,364.0,659.4361538461538,641.87,668.79,0.0,615.2,196.1,255.9,315.3,365,266.57260273972605,194.0,0,0,-0.20611111111111077,0.1730833333333317,21.709999999999997,29.569999999999997,25.639999999999997
1967,339.0,644.8193510324484,624.91,659.69,0.0,466.5,151.2,341.3,216.1,365,180.9509589041096,52.0,0,0,-0.48277777777777686,-0.43691666666666834,20.82,35.029999999999994,27.924999999999997
1968,366.0,670.1143715846994,655.87,678.33,0.0,884.7,312.8,251.7,408.3,366,318.5136612021858,254.0,0,0,0.327222222222223,-0.08275000000000106,27.48,44.38,35.93
1969,365.0,664.3702465753425,642.77,676.1,0.0,610.5,262.1,307.5,351.2,365,290.84657534246577,201.0,0,0,0.573888888888888,0.4972499999999984,30.040000000000003,35.36,32.7
1970,365.0,665.8043013698631,650.41,677.08,0.0,661.6,290.1,329.4,397.7,365,306.06301369863013,250.0,0,0,-0.8094444444444461,-0.4144166666666684,18.55,32.099999999999994,25.324999999999996
1971,365.0,651.6140273972603,627.89,674.58,0.0,925.3,254.7,406.8,272.7,365,219.08520547945207,92.0,0,0,-0.8461111111111114,-0.991916666666668,28.01,32.96,30.485
1972,366.0,668.0121038251366,651.17,678.99,0.0,756.4,299.79999999999995,371.3,375.8,366,309.5191256830601,242.0,0,0,1.5605555555555561,0.717249999999999,22.97,34.43,28.7
1973,365.0,681.9524657534247,665.92,696.52,0.0,1486.5,628.7,310.4,527.6,365,384.4958904109589,312.0,0,0,-1.7361111111111118,-0.7110833333333352,27.47,49.230000000000004,38.35
1974,365.0,678.2443561643836,660.88,689.22,0.0,658.5,280.3,377.4,483.8,365,380.1397260273973,294.0,0,0,-0.7361111111111119,-1.0027500000000018,29.950000000000003,37.93,33.94
1975,365.0,679.3312054794521,671.99,686.99,0.0,973.0,513.8,327.8,540.4,365,393.854794520548,350.0,0,0,-1.5094444444444441,-1.1044166666666682,24.769999999999996,34.32,29.544999999999998
1976,365.0,678.1262191780822,663.76,693.11,0.0,894.1,254.6,349.5,503.9,366,367.4562841530055,308.0,0,0,0.7205555555555551,-0.1444166666666679,29.54,45.98,37.76
1977,362.0,686.50591160221,675.63,695.95,0.0,952.0,433.9,380.6,580.3,365,388.65205479452055,326.0,0,0,0.7372222222222232,0.442249999999999,19.080000000000002,28.589999999999996,23.835
1978,353.0,673.2055807365439,650.13,684.11,0.0,502.5,225.00000000000003,431.8,375.5,365,320.47945205479454,226.0,0,0,-0.4161111111111116,-0.23858333333333478,23.099999999999998,33.72,28.409999999999997
1979,365.0,682.3877534246575,675.44,690.52,0.0,1117.8,516.3000000000001,391.5,523.0,365,394.613698630137,338.0,0,0,0.3305555555555557,0.12641666666666515,21.729999999999997,40.150000000000006,30.94
1980,350.0,663.3322857142857,640.76,680.29,0.0,406.4,194.3,491.1,328.3,366,282.27322404371586,184.0,0,0,-0.09277777777777867,0.08224999999999838,23.1,29.249999999999996,26.174999999999997
1981,362.0,674.4084806629834,661.27,685.98,0.0,1448.4,520.4,387.1,407.3,365,312.34794520547945,270.0,0,0,-0.17277777777777814,-0.2477500000000017,29.659999999999997,42.620000000000005,36.14
1982,365.0,665.4723287671233,647.33,680.53,0.0,422.4,167.7,453.1,333.3,365,272.3972602739726,201.0,0,0,1.767222222222222,0.8555833333333321,20.21,27.840000000000003,24.025000000000002
1983,363.0,657.3258677685951,642.11,669.92,0.0,420.1,192.0,418.5,301.6,365,233.95068493150688,171.0,0,0,-0.9361111111111112,0.38808333333333184,20.41,35.71,28.060000000000002
1984,366.0,638.7970218579235,623.17,656.97,0.0,197.9,98.0,529.8,178.3,366,123.6590163934426,26.0,0,0,-0.8361111111111121,-0.7802500000000014,20.88,28.189999999999998,24.534999999999997
