year,n_days,H_mean,H_min,H_max,n_provisional,R_uv_12,R_uv_1234,R_sa_total,P_uv
1941,343,872.0905247813411,867.75,875.65,0,241.70000000000002,431.3,850.7,17.9
1942,361,873.975484764543,871.85,875.75,0,198.6,317.0,557.8,22.5
1943,365,871.9112328767122,867.95,874.55,0,78.8,123.69999999999999,273.1,19.2
1944,366,867.9001639344262,866.75,869.25,0,140.1,239.2,560.9,11.6
1945,365,868.2425479452055,865.15,870.05,0,118.39999999999999,227.79999999999998,527.8,12.4
1946,365,864.2634246575343,862.85,867.05,0,135.10000000000002,203.60000000000002,556.1,6.2
1947,365,869.1915616438356,867.05,870.75,0,150.10000000000002,212.0,422.6,13.8
1948,341,864.1549266862171,860.45,868.35,0,66.7,112.9,178.3,9.2
1949,313,865.8738338658147,859.05,871.15,0,252.1,353.90000000000003,508.1,13.2
1950,355,867.7990140845071,862.05,871.75,0,77.0,117.3,200.2,17.8
1951,322,855.0132298136647,846.85,861.75,0,46.7,80.4,139.9,16.9
1953,365,828.052904109589,817.75,835.25,0,36.5,44.1,167.6,27.5
1954,365,831.718301369863,823.15,836.75,0,92.9,111.9,162.1,26.6
1955,365,828.6098904109589,822.75,834.25,0,150.1,158.39999999999998,192.0,28.3
1956,366,822.7146448087432,812.75,834.15,0,19.8,25.000000000000004,43.7,59.6
1957,365,826.1446849315068,810.95,840.85,0,242.2,437.1,1142.6,29.0
1958,365,853.7447671232877,840.75,866.05,0,566.7,1085.4,1711.2,23.7
1959,365,871.4242191780822,866.15,876.05,0,268.5,426.8,690.4,43.0
1960,363,875.5700826446281,873.05,876.85,0,216.8,408.70000000000005,824.8,53.7
1961,352,877.3324715909092,875.55,878.45,0,236.5,399.29999999999995,717.1,56.5
1962,365,873.8647671232877,869.75,878.25,0,94.0,121.8,239.4,64.6
1963,365,865.7112054794521,860.95,869.65,0,66.7,82.0,170.7,51.4
1964,346,855.7097976878614,848.95,860.95,0,183.2,260.8,413.2,49.3
1965,365,863.9179452054794,860.35,865.85,0,180.9,308.1,623.5,46.8
1966,365,864.670301369863,860.15,867.15,0,303.2,419.09999999999997,615.2,48.5
1967,360,861.6657222222221,856.45,867.35,0,220.10000000000002,315.3,466.5,81.1
1968,366,871.1814207650274,864.85,873.35,0,306.8,571.9000000000001,884.7,58.0
1969,365,870.3572054794521,866.55,874.95,0,233.5,348.4,610.5,88.5
1970,365,873.8423561643837,871.35,876.15,0,254.5,371.5,661.6,100.9
1971,365,870.8169589041096,863.95,877.65,0,475.79999999999995,670.6,925.3,117.0
1972,366,876.1475409836065,874.55,877.75,0,253.0,456.6,756.4,112.6
1973,347,877.9274639769453,874.45,881.65,0,447.5,857.8,1486.5,96.5
1974,251,878.894780876494,875.95,881.35,0,226.79999999999998,378.2,658.5,133.3
1975,307,880.5585016286645,879.35,882.15,0,215.39999999999998,459.19999999999993,973.0,112.0
1976,366,879.967349726776,875.95,884.95,0,389.29999999999995,639.5,894.1,136.4
1977,362,883.6774585635359,881.35,886.25,0,295.9,518.0999999999999,952.0,156.5
1978,365,878.2969863013699,875.65,882.55,0,142.89999999999998,277.5,502.5,154.3
1979,365,878.8423287671233,876.05,881.95,0,329.8,601.5,1117.8,130.1
1980,361,872.3401108033241,867.95,879.05,0,144.2,212.1,406.4,151.0
1981,343,874.9759766763849,867.85,881.75,0,570.2,927.9000000000001,1448.4,104.2
