origin,model,Q_obs,Q_hat,sqerr
1948,naive_persist,286.73150684931505,268.2824839212899,340.366446998798
1948,naive_mean,286.73150684931505,332.6388406644219,2107.4832980116503
1948,M1,286.73150684931505,308.347016275663,467.23024776053734
1948,M2,286.73150684931505,251.05348191413395,1272.9214632754042
1948,M2m,286.73150684931505,272.5815869861881,200.2202321329151
1948,M3,286.73150684931505,257.2505521736475,869.1266885887634
1948,M4,286.73150684931505,284.6030235077437,4.530441335346635
1948,M2_oracle,286.73150684931505,275.94021672537065,116.45194253914009
1949,naive_persist,260.654794520548,282.58643588331734,480.99689286513376
1949,naive_mean,260.654794520548,329.51056536560236,4741.117178666635
1949,M1,260.654794520548,302.38271925820027,1741.21970291117
1949,M2,260.654794520548,291.42851930948837,947.0221373854413
1949,M2m,260.654794520548,287.9063781259915,742.6488090044769
1949,M3,260.654794520548,291.05439295399174,924.1355849146335
1949,M4,260.654794520548,289.02452223772116,804.8414507465416
1949,M2_oracle,260.654794520548,270.99327200975677,106.8841167948759
1950,naive_persist,203.227397260274,268.90310026905354,4313.297965697415
1950,naive_mean,203.227397260274,325.945420359923,15059.713193485986
1950,M1,203.227397260274,284.1580822985329,6549.775780761867
1950,M2,203.227397260274,259.0681625202319,3118.191064817723
1950,M2m,203.227397260274,275.32008155595395,5197.355128956579
1950,M3,203.227397260274,259.259072617328,3139.548643318294
1950,M4,203.227397260274,260.23780153789266,3250.186195897522
1950,M2_oracle,203.227397260274,256.3467060658454,2821.6609679816574
1951,naive_persist,181.1584699453552,215.85133386514235,1203.5948069568694
1951,naive_mean,181.1584699453552,319.82908222132437,19229.538708992175
1951,M1,181.1584699453552,213.8685903421865,1069.9519763752
1951,M2,181.1584699453552,192.73969309440008,134.12472962797318
1951,M2m,181.1584699453552,217.6069955191997,1328.495016507197
1951,M3,181.1584699453552,199.17377156029852,324.5510922773796
1951,M4,181.1584699453552,220.2682158440366,1529.5722242594275
1951,M2_oracle,181.1584699453552,203.27718133267308,489.237393435466
1952,naive_persist,191.33698630136988,188.5796140879761,7.603101523196109
1952,naive_mean,191.33698630136988,312.92121547746365,14782.724784344891
1952,M1,191.33698630136988,133.58646603521493,3335.1225910115736
1952,M2,191.33698630136988,169.28812431701908,486.1523148049496
1952,M2m,191.33698630136988,181.7466926384932,91.9737325402128
1952,M3,191.33698630136988,170.8142170895112,421.18405612321425
1952,M4,191.33698630136988,177.95709777752654,179.02141691047456
1952,M2_oracle,191.33698630136988,161.40089083389694,896.1698118376538
1953,naive_persist,135.1482191780822,189.70438815590705,2976.375573536979
1953,naive_mean,135.1482191780822,306.7603741113862,29450.731720852345
1953,M1,135.1482191780822,181.10238827934654,2111.785657787598
1953,M2,135.1482191780822,174.76540974454883,1569.5217883797327
1953,M2m,135.1482191780822,196.89955092008086,3813.2269719103706
1953,M3,135.1482191780822,172.1520501097275,1369.2835036177892
1953,M4,135.1482191780822,158.93549952172634,565.8347061471189
1953,M2_oracle,135.1482191780822,174.18659309778832,1523.9946382947908
1954,naive_persist,90.213698630137,156.00943923863906,4329.0794822212865
1954,naive_mean,90.213698630137,299.5817581650649,43834.98435342112
1954,M1,90.213698630137,91.00686825498997,0.6291180537893928
1954,M2,90.213698630137,138.42830291086148,2324.648065946855
1954,M2m,90.213698630137,162.49124275305894,5224.043384440927
1954,M3,90.213698630137,141.4395168376459,2624.0844510287498
1954,M4,90.213698630137,151.73609116793887,3785.0047835753785
1954,M2_oracle,90.213698630137,140.02585642041322,2481.2510637233754
1955,naive_persist,31.80650273224044,132.36055068815813,10111.116560320996
1955,naive_mean,31.80650273224044,291.9807941888416,67690.66193494445
1955,M1,31.80650273224044,33.76290155266224,3.827496344547824
1955,M2,31.80650273224044,116.16226595679063,7115.894789196376
1955,M2m,31.80650273224044,138.11117776309493,11300.68393341558
1955,M3,31.80650273224044,117.36721929339274,7320.636218457842
1955,M4,31.80650273224044,121.75561363143879,8090.842551556285
1955,M2_oracle,31.80650273224044,102.5742102327099,5008.068424872003
1956,naive_persist,145.73534246575343,95.68724511810979,2504.812048119215
1956,naive_mean,145.73534246575343,283.44629205533147,18964.305636863304
1956,M1,145.73534246575343,32.9802743937571,12713.705375920526
1956,M2,145.73534246575343,66.64686551256545,6254.987186774946
1956,M2m,145.73534246575343,105.87888814116968,1588.5369513276307
1956,M3,145.73534246575343,67.4890245474071,6122.486267778927
1956,M4,145.73534246575343,70.53491452963362,5655.104361775549
1956,M2_oracle,145.73534246575343,151.67275876558006,35.252912317446864
1957,naive_persist,313.5753424657534,162.2894317125597,22887.426792423295
1957,naive_mean,313.5753424657534,278.39808954104956,1237.4391233285855
1957,M1,313.5753424657534,158.87146643338565,23933.28925943821
1957,M2,313.5753424657534,215.8124456529622,9557.583993228462
1957,M2m,313.5753424657534,170.45889836409333,20482.316572303593
1957,M3,313.5753424657534,214.8806140724255,9740.649412632769
1957,M4,313.5753424657534,211.28562951029016,10463.185376511065
1957,M2_oracle,313.5753424657534,259.5943548579112,2913.9470231180157
1958,naive_persist,313.5150684931507,303.76948409143733,94.97641533091873
1958,naive_mean,313.5150684931507,279.41294532306483,1162.954804707707
1958,M1,313.5150684931507,299.5859381139253,194.02067312145988
1958,M2,313.5150684931507,420.76190938848595,11501.884882029353
1958,M2m,313.5150684931507,300.4069345200842,171.82317625586055
1958,M3,313.5150684931507,417.46352339205396,10805.281275869325
1958,M4,313.5150684931507,400.9335702390358,7641.99444749532
1958,M2_oracle,313.5150684931507,324.15932793646925,113.30025909667636
1959,naive_persist,317.27322404371586,328.6431550438506,129.27533094782467
1959,naive_mean,317.27322404371586,281.30641492771065,1293.6113579871553
1959,M1,317.27322404371586,322.44721621873896,26.770195027200288
1959,M2,317.27322404371586,350.6587645167956,1114.5943126796456
1959,M2m,317.27322404371586,325.99370704546345,76.04682378376876
1959,M3,317.27322404371586,350.29647596010045,1090.5351671329988
1959,M4,317.27322404371586,348.2691781417011,960.7491704444085
1959,M2_oracle,317.27322404371586,362.9252059951132,2084.1034560907065
1960,naive_persist,334.013698630137,327.2018839189095,46.400819660095365
1960,naive_mean,334.013698630137,283.0062471125698,2601.760110316972
1960,M1,334.013698630137,321.4441222371797,157.99425069838915
1960,M2,334.013698630137,346.6522706386954,159.73350241551623
1960,M2m,334.013698630137,320.7310985383406,176.42746519859077
1960,M3,334.013698630137,349.9165742439686,252.90145278900013
1960,M4,334.013698630137,367.154133663566,1098.2884342049254
1960,M2_oracle,334.013698630137,337.0031408888967,8.936765018458352
1961,naive_persist,265.5260273972603,342.1251508202072,5867.425709163851
1961,naive_mean,265.5260273972603,285.1176365306992,383.8311484374468
1961,M1,265.5260273972603,335.5193821349553,4899.069707436815
1961,M2,265.5260273972603,351.62689112187854,7413.358734125283
1961,M2m,265.5260273972603,335.09352031643084,4839.636071058844
1961,M3,265.5260273972603,351.01691075239296,7308.6911368409
1961,M4,265.5260273972603,347.8905100210927,6783.907997891594
1961,M2_oracle,265.5260273972603,307.7841666959571,1785.750336988062
1962,naive_persist,207.56164383561645,287.9287221547288,6458.867277550338
1962,naive_mean,207.56164383561645,285.21457051773496,6029.977022298472
1962,M1,207.56164383561645,286.34947348481137,6207.522100830558
1962,M2,207.56164383561645,254.81303331975596,2232.69380818185
1962,M2m,207.56164383561645,285.4900567098034,6072.837533089748
1962,M3,207.56164383561645,257.0605127376275,2450.138022578477
1962,M4,207.56164383561645,267.472490333274,3589.3095280658836
1962,M2_oracle,207.56164383561645,248.0470303996981,1639.066525243122
1963,naive_persist,188.93715846994536,232.74417315249138,1919.054535396803
1963,naive_mean,188.93715846994536,283.46555727222676,8935.618180123156
1963,M1,188.93715846994536,237.16979510516285,2326.3872367849244
1963,M2,188.93715846994536,198.89505355072106,99.15967443973688
1963,M2m,188.93715846994536,237.46103484233936,2354.5665782033766
1963,M3,188.93715846994536,200.7314552666976,139.10543692988003
1963,M4,188.93715846994536,210.60046763815762,469.2989641175496
1963,M2_oracle,188.93715846994536,222.18396618860652,1105.3502234816272
1964,naive_persist,260.9287671232877,214.54108633567375,2151.8169288535664
1964,naive_mean,260.9287671232877,281.24218724201546,412.6350369199344
1964,M1,260.9287671232877,220.3301172453157,1648.2503719141541
1964,M2,260.9287671232877,206.29730951566216,2984.5961603337846
1964,M2m,260.9287671232877,221.53305726824374,1552.0219549828068
1964,M3,260.9287671232877,207.23987256047167,2882.4973993771755
1964,M4,260.9287671232877,212.83085657715174,2313.408998904096
1964,M2_oracle,260.9287671232877,225.4990913540596,1255.2619251126275
1965,naive_persist,266.57260273972605,269.62147068696595,9.295595759706833
1965,naive_mean,266.57260273972605,280.8790398496708,204.67414278080395
1965,M1,266.57260273972605,269.7606935825188,10.163923221898965
