window,model,train,test,n,rmse,mae,brier_660,direction,beta,gamma,phi_m1
dor_drawdown,naive_persist,1934-1950,1951-1956,6,23.747533873437817,22.203398379650043,0.0,0.0,,,
dor_drawdown,naive_mean,1934-1950,1951-1956,6,35.18943436424287,34.16638443573927,1.0,0.0,,,
dor_drawdown,M1,1934-1950,1951-1956,6,30.941436454676754,29.15374234840554,1.0,0.2,,,0.6945619279769174
dor_drawdown,M2,1934-1950,1951-1956,6,18.10531818158991,16.86154112692384,0.0,0.8,0.015037636576253996,0.0211334758185783,
dor_drawdown,M2m,1934-1950,1951-1956,6,27.44092459247185,25.68878882171388,1.0,0.2,0.015037636576253996,0.0211334758185783,
dor_drawdown,M3,1934-1950,1951-1956,6,18.123239158435265,16.88387036712095,0.0,0.8,0.015037636576253996,0.0211334758185783,
dor_drawdown,M4,1934-1950,1951-1956,6,18.232850664554977,17.01732215151689,0.0,0.8,0.015037636576253996,0.0211334758185783,
dor_drawdown,M2_oracle,1934-1950,1951-1956,6,19.69155200532249,18.216320300356017,0.0,0.4,0.015037636576253996,0.0211334758185783,
dor_recovery,naive_persist,1934-1956,1957-1961,5,43.623348126503245,41.33995202717997,0.8,0.0,,,
dor_recovery,naive_mean,1934-1956,1957-1961,5,14.066193987376648,12.126558788477018,0.2,0.0,,,
dor_recovery,M1,1934-1956,1957-1961,5,56.24292786116898,54.49093563373733,0.8,0.0,,,1.05
dor_recovery,M2,1934-1956,1957-1961,5,55.3207232174765,52.754910766279366,0.8,0.0,0.014859354330389027,-0.017933069488427864,
dor_recovery,M2m,1934-1956,1957-1961,5,37.74116490715007,35.76940521804786,0.8,0.75,0.014859354330389027,-0.017933069488427864,
dor_recovery,M3,1934-1956,1957-1961,5,55.284481394553524,52.69601943089092,0.8,0.0,0.014859354330389027,-0.017933069488427864,
dor_recovery,M4,1934-1956,1957-1961,5,55.11629810185672,52.44432730133419,0.8,0.0,0.014859354330389027,-0.017933069488427864,
dor_recovery,M2_oracle,1934-1956,1957-1961,5,12.262207404115278,11.307443112975648,0.6,0.75,0.014859354330389027,-0.017933069488427864,
prepermit_wet,naive_persist,1980-1990,1991-1995,5,30.13106469270148,27.042797820017448,0.8,0.0,,,
prepermit_wet,naive_mean,1980-1990,1991-1995,5,18.24030935306489,14.72455815491378,0.2,0.0,,,
prepermit_wet,M1,1980-1990,1991-1995,5,20.018832459580036,15.497040817861057,0.8,0.25,,,0.38300382106480607
prepermit_wet,M2,1980-1990,1991-1995,5,16.669700318810435,11.537292493166046,0.0,0.25,0.01753284896754867,-0.031248224431214368,
prepermit_wet,M2m,1980-1990,1991-1995,5,23.47099745106245,19.56016382301707,0.8,0.25,0.01753284896754867,-0.031248224431214368,
prepermit_wet,M3,1980-1990,1991-1995,5,16.411764263001686,11.58763798939783,0.0,0.25,0.01753284896754867,-0.031248224431214368,
prepermit_wet,M4,1980-1990,1991-1995,5,15.258089448341062,11.53525573755021,0.2,0.25,0.01753284896754867,-0.031248224431214368,
prepermit_wet,M2_oracle,1980-1990,1991-1995,5,7.176415349966565,6.757432465604893,0.4,1.0,0.01753284896754867,-0.031248224431214368,
cpm_era,naive_persist,1997-2014,2015-2023,9,27.41258386604106,24.252543528707204,0.6666666666666666,0.0,,,
cpm_era,naive_mean,1997-2014,2015-2023,9,14.771415540583579,10.980604145353519,0.3333333333333333,0.0,,,
cpm_era,M1,1997-2014,2015-2023,9,15.622251953442671,12.87906348097412,0.5555555555555556,0.25,,,0.6728173573151042
cpm_era,M2,1997-2014,2015-2023,9,23.37268885273394,20.670799367202083,0.6666666666666666,0.25,0.01497018242352044,0.00897780891126768,
cpm_era,M2m,1997-2014,2015-2023,9,14.793993673753524,11.094078435185894,0.3333333333333333,0.25,0.01497018242352044,0.00897780891126768,
cpm_era,M3,1997-2014,2015-2023,9,22.840823706717973,19.972052033187676,0.6666666666666666,0.5,0.01497018242352044,0.00897780891126768,
cpm_era,M4,1997-2014,2015-2023,9,22.171638484740196,19.449710420002198,0.6666666666666666,0.5,0.01497018242352044,0.00897780891126768,
cpm_era,M2_oracle,1997-2014,2015-2023,9,8.703778328284468,8.051299425206253,0.2222222222222222,0.75,0.01497018242352044,0.00897780891126768,
