policy,uc,K,T,nominal_boundary,certified_boundary,nominal_intervals,certified_intervals
BAU,UC_min,K_phys_618,1,618.777,639.432,"[[618.776818706642, 710.0]]","[[639.4323904337879, 710.0]]"
BAU,UC_min,K_phys_618,2,619.818,668.158,"[[619.817999325293, 710.0]]","[[668.1584125458872, 710.0]]"
BAU,UC_min,K_phys_618,3,621.214,706.659,"[[621.2135077899911, 710.0]]","[[706.65886824881, 710.0]]"
BAU,UC_min,K_phys_618,5,625.591,,"[[625.5908743654569, 710.0]]",
BAU,UC_min,K_phys_618,8,639.491,,"[[639.4907641473633, 710.0]]",
BAU,UC_min,K_phys_618,10,658.425,,"[[658.4248750661185, 710.0]]",
BAU,UC_min,K_phys_618,15,,,,
BAU,UC_min,K_phys_618,20,,,,
BAU,UC_min,K_phys_618,inf,,,,
BAU,UC_min,K_inst_660,1,675.07,695.726,"[[675.0699867385758, 710.0]]","[[695.7255584657217, 710.0]]"
BAU,UC_min,K_inst_660,2,695.268,,"[[695.2684937793775, 710.0]]",
BAU,UC_min,K_inst_660,3,,,,
BAU,UC_min,K_inst_660,5,,,,
BAU,UC_min,K_inst_660,8,,,,
BAU,UC_min,K_inst_660,10,,,,
BAU,UC_min,K_inst_660,15,,,,
BAU,UC_min,K_inst_660,20,,,,
BAU,UC_min,K_inst_660,inf,,,,
BAU,UC_q05,K_phys_618,1,618.0,636.168,"[[618.0, 710.0]]","[[636.1684465966067, 710.0]]"
BAU,UC_q05,K_phys_618,2,618.0,660.52,"[[618.0, 710.0]]","[[660.5197606402958, 710.0]]"
BAU,UC_q05,K_phys_618,3,618.0,693.157,"[[618.0, 710.0]]","[[693.1567359530832, 710.0]]"
BAU,UC_q05,K_phys_618,5,618.0,,"[[618.0, 710.0]]",
BAU,UC_q05,K_phys_618,8,618.0,,"[[618.0, 710.0]]",
BAU,UC_q05,K_phys_618,10,618.0,,"[[618.0, 710.0]]",
BAU,UC_q05,K_phys_618,15,618.0,,"[[618.0, 710.0]]",
BAU,UC_q05,K_phys_618,20,618.0,,"[[618.0, 710.0]]",
BAU,UC_q05,K_phys_618,inf,618.0,,"[[618.0, 710.0]]",
BAU,UC_q05,K_inst_660,1,671.806,692.462,"[[671.8060429013947, 710.0]]","[[692.4616146285407, 710.0]]"
BAU,UC_q05,K_inst_660,2,687.63,,"[[687.629841873786, 710.0]]",
BAU,UC_q05,K_inst_660,3,708.839,,"[[708.8386936465565, 710.0]]",
BAU,UC_q05,K_inst_660,5,,,,
BAU,UC_q05,K_inst_660,8,,,,
BAU,UC_q05,K_inst_660,10,,,,
BAU,UC_q05,K_inst_660,15,,,,
BAU,UC_q05,K_inst_660,20,,,,
BAU,UC_q05,K_inst_660,inf,,,,
BAU,UC_q10,K_phys_618,1,618.0,635.834,"[[618.0, 710.0]]","[[635.8340784087261, 710.0]]"
BAU,UC_q10,K_phys_618,2,618.0,659.737,"[[618.0, 710.0]]","[[659.7372342480129, 710.0]]"
BAU,UC_q10,K_phys_618,3,618.0,691.774,"[[618.0, 710.0]]","[[691.773537058293, 710.0]]"
BAU,UC_q10,K_phys_618,5,618.0,,"[[618.0, 710.0]]",
BAU,UC_q10,K_phys_618,8,618.0,,"[[618.0, 710.0]]",
BAU,UC_q10,K_phys_618,10,618.0,,"[[618.0, 710.0]]",
BAU,UC_q10,K_phys_618,15,618.0,,"[[618.0, 710.0]]",
BAU,UC_q10,K_phys_618,20,618.0,,"[[618.0, 710.0]]",
BAU,UC_q10,K_phys_618,inf,618.0,,"[[618.0, 710.0]]",
BAU,UC_q10,K_inst_660,1,671.472,692.127,"[[671.4716747135141, 710.0]]","[[692.1272464406601, 710.0]]"
BAU,UC_q10,K_inst_660,2,686.847,,"[[686.847315481503, 710.0]]",
BAU,UC_q10,K_inst_660,3,707.455,,"[[707.4554947517662, 710.0]]",
BAU,UC_q10,K_inst_660,5,,,,
BAU,UC_q10,K_inst_660,8,,,,
BAU,UC_q10,K_inst_660,10,,,,
BAU,UC_q10,K_inst_660,15,,,,
BAU,UC_q10,K_inst_660,20,,,,
BAU,UC_q10,K_inst_660,inf,,,,
flat_90,UC_min,K_phys_618,1,618.0,638.357,"[[618.0, 710.0]]","[[638.356854901913, 710.0]]"
flat_90,UC_min,K_phys_618,2,618.0,665.641,"[[618.0, 710.0]]","[[665.6413221944852, 710.0]]"
flat_90,UC_min,K_phys_618,3,618.0,702.21,"[[618.0, 710.0]]","[[702.2096424763865, 710.0]]"
flat_90,UC_min,K_phys_618,5,618.0,,"[[618.0, 710.0]]",
flat_90,UC_min,K_phys_618,8,618.0,,"[[618.0, 710.0]]",
flat_90,UC_min,K_phys_618,10,618.0,,"[[618.0, 710.0]]",
flat_90,UC_min,K_phys_618,15,618.0,,"[[618.0, 710.0]]",
flat_90,UC_min,K_phys_618,20,618.0,,"[[618.0, 710.0]]",
flat_90,UC_min,K_phys_618,inf,618.0,,"[[618.0, 710.0]]",
flat_90,UC_min,K_inst_660,1,673.994,694.65,"[[673.994451206701, 710.0]]","[[694.650022933847, 710.0]]"
flat_90,UC_min,K_inst_660,2,692.751,,"[[692.7514034279753, 710.0]]",
flat_90,UC_min,K_inst_660,3,,,,
flat_90,UC_min,K_inst_660,5,,,,
flat_90,UC_min,K_inst_660,8,,,,
flat_90,UC_min,K_inst_660,10,,,,
