model,horizon,n,rmse,mae
M2_precip_oracle,1,75,10.560323918228818,8.238481542204728
M2_combo,1,75,12.711012654330633,10.392302182141485
M2_precip,1,75,12.794717646130232,10.20249824847835
M2_enso,1,75,12.821532762383121,10.49125775233865
M1,1,75,12.839129375852034,10.716569153806413
naive_persist,1,75,13.230085772397212,10.728912058285621
M2_Rar,1,75,13.249500782545628,10.769888649110927
M2_precip_oracle,5,71,16.90933639040044,13.906424619751194
naive_persist,5,71,21.105596110577675,18.375512934340495
M1,5,71,21.25140899501047,16.6640147149463
M2_enso,5,71,24.422093623987188,19.660213568273992
M2_precip,5,71,25.377086147544475,21.00380348255599
M2_Rar,5,71,25.379732022179294,21.119412174134045
M2_combo,5,71,26.879224300926985,21.379617848140974
