model,horizon,n,rmse,mae
M2_precip_oracle,1,75,354.01834308079214,248.9349769536494
M2_enso,1,75,528.272763384021,416.28964763338627
M2_combo,1,75,537.9569990446428,424.3474684292185
M2_precip,1,75,544.6279014804472,413.0637609336668
R_mean,1,75,555.9044905498359,428.64126690466463
M2_Rar,1,75,560.9447877869269,445.4979873404031
R_persist,1,75,702.1219253092728,494.54
M2_precip_oracle,5,71,368.9389515648176,259.7035147004912
M2_Rar,5,71,565.9652957179852,455.12513134258177
M2_enso,5,71,571.9381008937354,454.4467242274698
R_mean,5,71,572.6703781199343,444.1967136100495
M2_combo,5,71,585.1061455628039,466.093284958613
M2_precip,5,71,586.9195619573597,457.67768071257325
R_persist,5,71,730.2371802617419,546.0535211267606
