window,model,target,n,rmse,mae
dor_drawdown,M2_Rar,R,6,365.1645421863907,358.65183764756324
dor_drawdown,M2_Renso,R,6,199.45778935709117,187.26827684633489
dor_drawdown,M2_Rprecip,R,6,301.03837375729137,293.1042480964963
dor_drawdown,M2_combo,R,6,208.5411248226954,196.91469858822828
dor_drawdown,M2_precip_oracle,R,6,80.704027266062,74.83804355333852
dor_drawdown,naive_persist,H,6,23.747533873437817,22.203398379650043
dor_drawdown,M1,H,6,30.941436454676754,29.15374234840554
dor_drawdown,M2_Rar,H,6,31.378395378201887,29.398834078623377
dor_drawdown,M2_Renso,H,6,24.298973922053136,22.724207177483816
dor_drawdown,M2_Rprecip,H,6,28.668571213197716,26.846047204100177
dor_drawdown,M2_combo,H,6,24.696863882919118,23.09989237014264
dor_drawdown,M2_precip_oracle,H,6,18.163561744824303,17.284572700579037
dor_recovery,M2_Rar,R,5,806.3940431201052,709.9464199357514
dor_recovery,M2_Renso,R,5,787.9023747591912,688.8706108923307
dor_recovery,M2_Rprecip,R,5,914.6369382610784,830.8509464588697
dor_recovery,M2_combo,R,5,936.7006834541282,855.0793745515272
dor_recovery,M2_precip_oracle,R,5,487.18437052348696,355.26342122249025
dor_recovery,naive_persist,H,5,43.623348126503245,41.33995202717997
dor_recovery,M1,H,5,56.24292786116898,54.49093563373733
dor_recovery,M2_Rar,H,5,49.64147063784221,47.005488222654414
dor_recovery,M2_Renso,H,5,48.772764289131935,46.18929045404341
dor_recovery,M2_Rprecip,H,5,53.84238542093403,51.035232196889545
dor_recovery,M2_combo,H,5,54.211802211713334,51.437367197386564
dor_recovery,M2_precip_oracle,H,5,33.73531448224798,31.58068352730304
prepermit_wet,M2_Rar,R,5,845.1783975305923,657.9036583680254
prepermit_wet,M2_Renso,R,5,833.8837582425571,664.8657142795048
prepermit_wet,M2_Rprecip,R,5,822.7577755433718,672.6950928481725
prepermit_wet,M2_combo,R,5,869.9140301216253,644.7559340152052
prepermit_wet,M2_precip_oracle,R,5,469.14454662224824,408.6932229937073
prepermit_wet,naive_persist,H,5,30.13106469270148,27.042797820017448
prepermit_wet,M1,H,5,20.018832459580036,15.497040817861057
prepermit_wet,M2_Rar,H,5,23.943490598234483,20.115356792487752
prepermit_wet,M2_Renso,H,5,23.031292500445268,19.038658240184123
prepermit_wet,M2_Rprecip,H,5,22.0271148518519,17.827826170245864
prepermit_wet,M2_combo,H,5,25.708546813805093,22.148683723032626
prepermit_wet,M2_precip_oracle,H,5,10.979148300110484,9.437885377083171
cpm_era,M2_Rar,R,9,499.7131155021253,480.5593016277388
cpm_era,M2_Renso,R,9,573.2897337205436,531.155155504001
cpm_era,M2_Rprecip,R,9,483.0891957713036,463.3661233015963
cpm_era,M2_combo,R,9,598.0553618744743,544.7244428253467
cpm_era,M2_precip_oracle,R,9,356.9117216577225,289.78901761558495
cpm_era,naive_persist,H,9,27.41258386604106,24.252543528707204
cpm_era,M1,H,9,15.622251953442671,12.87906348097412
cpm_era,M2_Rar,H,9,14.672199904040701,11.087741436485935
cpm_era,M2_Renso,H,9,16.009554286049013,11.810804207361976
cpm_era,M2_Rprecip,H,9,14.524279878718474,11.438332306895656
cpm_era,M2_combo,H,9,16.568048190492576,12.118501052495024
cpm_era,M2_precip_oracle,H,9,9.751164335797796,7.927342917459618
