origin,horizon,model,target,obs,pred,sqerr,abserr
1948,1,M2_Rar,R,508.1,552.0248497644609,1929.3924268304584,43.92484976446087
1948,1,M2_enso,R,508.1,522.9790789030186,221.38698900225262,14.87907890301858
1948,1,M2_precip,R,508.1,427.6697606372637,6469.023403947056,80.4302393627363
1948,1,M2_combo,R,508.1,486.9901642727638,445.625164430898,21.109835727236202
1948,1,M2_precip_oracle,R,508.1,741.2623242455243,54364.66944757498,233.16232424552425
1948,1,R_persist,R,508.1,178.3,108768.04000000001,329.8
1948,1,R_mean,R,508.1,521.0600000000001,167.96160000000094,12.960000000000036
1948,1,naive_persist,H,662.3477134986226,659.3478709677419,8.999055210081057,2.9998425308807555
1948,1,M1,H,662.3477134986226,667.7502543409213,29.187447552705148,5.402540842298663
1948,1,M2_Rar,H,662.3477134986226,661.4049923387977,0.8887231851816828,0.9427211598249414
1948,1,M2_enso,H,662.3477134986226,660.9642900380256,1.9138604713301428,1.3834234605969868
1948,1,M2_precip,H,662.3477134986226,659.518191876434,8.006192610432931,2.829521622188622
1948,1,M2_combo,H,662.3477134986226,660.4182416113715,3.722861763692365,1.9294718872511112
1948,1,M2_precip_oracle,H,662.3477134986226,664.276232726734,3.7191864131951076,1.9285192281113268
1948,5,M2_Rar,R,167.6,552.0248497644609,147782.4651164283,384.4248497644609
1948,5,M2_enso,R,167.6,522.9790789030186,126294.2897219579,355.3790789030186
1948,5,M2_precip,R,167.6,427.6697606372637,67636.28039792363,260.0697606372637
1948,5,M2_combo,R,167.6,486.9901642727638,102010.07703418308,319.39016427276385
1948,5,M2_precip_oracle,R,167.6,276.6811594426528,11898.699345353447,109.08115944265282
1948,5,R_persist,R,167.6,178.3,114.49000000000036,10.700000000000017
1948,5,R_mean,R,167.6,521.0600000000001,124933.97160000002,353.46000000000004
1948,5,naive_persist,H,642.8683753501401,659.3478709677419,271.57377581055505,16.479495617601742
1948,5,M1,H,642.8683753501401,672.4813264924522,876.9268753569643,29.612951142312113
1948,5,M2_Rar,H,642.8683753501401,667.0403188562407,584.2828528621164,24.171943506100547
1948,5,M2_enso,H,642.8683753501401,665.3923463395334,507.3292691310319,22.52397098939332
1948,5,M2_precip,H,642.8683753501401,659.98477296724,292.97106738666287,17.116397617099892
1948,5,M2_combo,H,642.8683753501401,663.3504400496398,419.51497435449124,20.482064699499688
1948,5,M2_precip_oracle,H,642.8683753501401,654.8928893095937,144.5889359610931,12.024513959453543
1949,1,M2_Rar,R,200.2,543.0287059769909,117531.52164185805,342.8287059769909
1949,1,M2_enso,R,200.2,426.3547464046503,51145.9693213517,226.15474640465033
1949,1,M2_precip,R,200.2,615.6875956928052,172629.94217458795,415.4875956928052
1949,1,M2_combo,R,200.2,628.246141560616,183223.49930493094,428.04614156061604
1949,1,M2_precip_oracle,R,200.2,243.4441548043231,1870.056924740261,43.2441548043231
1949,1,R_persist,R,200.2,508.1,94802.41000000002,307.90000000000003
1949,1,R_mean,R,200.2,520.25,102432.0025,320.05
1949,1,naive_persist,H,659.4780273972603,662.3477134986226,8.235098320351822,2.8696861013622765
1949,1,M1,H,659.4780273972603,666.4994145794842,49.299877962697536,7.021387182223862
1949,1,M2_Rar,H,659.4780273972603,664.7240775261092,27.521041954395336,5.246050128848879
1949,1,M2_enso,H,659.4780273972603,662.9804459162754,12.26693548233929,3.5024185190150092
1949,1,M2_precip,H,659.4780273972603,665.8099268219444,40.09295032431388,6.331899424684025
1949,1,M2_combo,H,659.4780273972603,665.9976077545958,42.504928035754695,6.519580357335485
1949,1,M2_precip_oracle,H,659.4780273972603,660.2469423096715,0.591230142528178,0.7689149124111054
1949,5,M2_Rar,R,162.1,543.0287059769909,145106.67903730474,380.92870597699084
1949,5,M2_enso,R,162.1,426.3547464046503,69830.57099738604,264.2547464046503
1949,5,M2_precip,R,162.1,615.6875956928052,205741.7069663797,453.58759569280517
1949,5,M2_combo,R,162.1,628.246141560616,217292.22529184984,466.146141560616
1949,5,M2_precip_oracle,R,162.1,54.51102478288641,11575.38758826868,107.58897521711359
1949,5,R_persist,R,162.1,508.1,119716.0,346.0
1949,5,R_mean,R,162.1,520.25,128271.42249999999,358.15
1949,5,naive_persist,H,635.8018289085546,662.3477134986226,704.6839886692096,26.545884590068
1949,5,M1,H,635.8018289085546,671.160027005284,1250.2021726475532,35.358198096729325
1949,5,M2_Rar,H,635.8018289085546,670.418564401238,1198.3183761704029,34.61673549268335
1949,5,M2_enso,H,635.8018289085546,664.49666414131,823.3935690349804,28.694835232755395
1949,5,M2_precip,H,635.8018289085546,674.1064369948424,1467.2430006441025,38.30460808628777
1949,5,M2_combo,H,635.8018289085546,674.7438582010099,1516.4816454144413,38.94202929245523
1949,5,M2_precip_oracle,H,635.8018289085546,653.5077291976125,313.4989050460614,17.705900289057922
1950,1,M2_Rar,R,139.9,522.1185043142299,146090.985040207,382.2185043142299
1950,1,M2_enso,R,139.9,350.73494351300155,44451.37340613055,210.83494351300155
1950,1,M2_precip,R,139.9,456.57091476316293,100280.46825693842,316.67091476316295
1950,1,M2_combo,R,139.9,360.38136525489494,48612.03242466239,220.48136525489494
1950,1,M2_precip_oracle,R,139.9,172.379582948635,1054.9233085172614,32.479582948635
1950,1,R_persist,R,139.9,200.2,3636.089999999998,60.29999999999998
1950,1,R_mean,R,139.9,501.4235294117648,130699.26231833917,361.5235294117648
1950,1,naive_persist,H,648.3519452054794,659.4780273972603,123.78970493826492,11.126082191780938
1950,1,M1,H,648.3519452054794,662.6773211324,205.21639544759705,14.325375926920628
1950,1,M2_Rar,H,648.3519452054794,662.2563255402076,193.33179249277674,13.904380334728216
1950,1,M2_enso,H,648.3519452054794,659.6791218377344,128.30493045830445,11.327176632255032
1950,1,M2_precip,H,648.3519452054794,661.2706447100892,166.89279689040487,12.918699504609776
1950,1,M2_combo,H,648.3519452054794,659.8241812221503,131.61219922220047,11.472236016670877
1950,1,M2_precip_oracle,H,648.3519452054794,656.9970787441407,74.73833390128642,8.645133538661298
1950,5,M2_Rar,R,192.0,522.1185043142299,108978.22689066421,330.1185043142299
1950,5,M2_enso,R,192.0,350.73494351300155,25196.782292075794,158.73494351300155
1950,5,M2_precip,R,192.0,456.57091476316293,69997.76893861682,264.57091476316293
1950,5,M2_combo,R,192.0,360.38136525489494,28352.28416510234,168.38136525489494
1950,5,M2_precip_oracle,R,192.0,249.24567018131592,3277.0667545080023,57.245670181315916
1950,5,R_persist,R,192.0,200.2,67.23999999999981,8.199999999999989
1950,5,R_mean,R,192.0,501.4235294117648,95742.92055363326,309.4235294117648
1950,5,naive_persist,H,630.8421546961325,659.4780273972603,820.0132053551977,28.635872701127823
1950,5,M1,H,630.8421546961325,668.2593580931529,1400.0471100539896,37.41720339702033
1950,5,M2_Rar,H,630.8421546961325,669.0498140236698,1459.825231289146,38.20765932753727
1950,5,M2_enso,H,630.8421546961325,660.1708375194789,860.1716361524549,29.328682823346412
1950,5,M2_precip,H,630.8421546961325,665.6539486045513,1211.8609951222197,34.811793908418736
1950,5,M2_combo,H,630.8421546961325,660.6705957903151,889.7358981091218,29.828441094182608
1950,5,M2_precip_oracle,H,630.8421546961325,653.058763141446,493.57769081237313,22.216608445313454
1951,1,M2_Rar,R,275.5,467.5103507379468,36867.974790509346,192.0103507379468
1951,1,M2_enso,R,275.5,741.6483689427981,217294.30186803103,466.14836894279813
1951,1,M2_precip,R,275.5,387.70655697152915,12590.311427405017,112.20655697152915
1951,1,M2_combo,R,275.5,727.6634482817137,204451.78396201,452.1634482817137
1951,1,M2_precip_oracle,R,275.5,359.41106199885525,7041.066325775729,83.91106199885525
1951,1,R_persist,R,275.5,139.9,18387.359999999997,135.6
1951,1,R_mean,R,275.5,481.3388888888889,42369.64817901235,205.8388888888889
1951,1,naive_persist,H,642.6324863387978,648.3519452054794,32.712209727663165,5.719458866681634
1951,1,M1,H,642.6324863387978,647.9361217768367,28.12854885962203,5.303635438038896
1951,1,M2_Rar,H,642.6324863387978,648.7836223296191,37.83647397757751,6.151135990821331
1951,1,M2_enso,H,642.6324863387978,653.2007190872569,111.687543425603,10.568232748459081
1951,1,M2_precip,H,642.6324863387978,647.4977697470363,23.670982642480805,4.865283408238497
1951,1,M2_combo,H,642.6324863387978,652.9753846075214,106.97554459716596,10.342898268723616
1951,1,M2_precip_oracle,H,642.6324863387978,647.0418536361736,19.442519963167747,4.409367297375866
1951,5,M2_Rar,R,43.7,467.5103507379468,179615.2133926215,423.8103507379468
1951,5,M2_enso,R,43.7,741.6483689427981,487131.9257099122,697.9483689427981
1951,5,M2_precip,R,43.7,387.70655697152915,118340.51123940594,344.00655697152916
1951,5,M2_combo,R,43.7,727.6634482817137,467805.99858541245,683.9634482817137
1951,5,M2_precip_oracle,R,43.7,-14.553062671218356,3393.4193105768936,58.25306267121836
1951,5,R_persist,R,43.7,139.9,9254.44,96.2
1951,5,R_mean,R,43.7,481.3388888888889,191527.79706790127,437.6388888888889
1951,5,naive_persist,H,623.1509836065574,648.3519452054794,635.0884655103438,25.20096159892205
1951,5,M1,H,623.1509836065574,646.4256365623337,541.7094702118279,23.274652955776332
1951,5,M2_Rar,H,623.1509836065574,650.1732942284358,730.2052713452839,27.022310621878432
1951,5,M2_enso,H,623.1509836065574,668.8100818040142,2084.7532482050065,45.65909819745684
1951,5,M2_precip,H,623.1509836065574,644.7479746690066,466.43002295151086,21.596991062449206
1951,5,M2_combo,H,623.1509836065574,667.8593417449421,1998.8372874300703,44.70835813838471
1951,5,M2_precip_oracle,H,623.1509836065574,629.6501199847052,42.23877366176405,6.499136378147796
1952,1,M2_Rar,R,167.6,459.1484932803802,85000.52393405988,291.54849328038017
1952,1,M2_enso,R,167.6,487.818468399603,102539.86750418755,320.218468399603
1952,1,M2_precip,R,167.6,441.0999806222467,74802.23940036929,273.49998062224665
1952,1,M2_combo,R,167.6,478.7721730204701,96828.12126228142,311.17217302047015
1952,1,M2_precip_oracle,R,167.6,261.33335484731214,8785.941810932134,93.73335484731214
1952,1,R_persist,R,167.6,275.5,11642.410000000002,107.9
1952,1,R_mean,R,167.6,470.5052631578948,91751.59844875347,302.90526315789475
1952,1,naive_persist,H,642.8683753501401,642.6324863387978,0.055643625672071935,0.2358890113423513
1952,1,M1,H,642.8683753501401,631.0992551818671,138.51218953525142,11.769120168273048
1952,1,M2_Rar,H,642.8683753501401,641.6267357980591,1.5416687772918638,1.2416395520809829
1952,1,M2_enso,H,642.8683753501401,642.1013334834777,0.58835322521302,0.7670418666624528
1952,1,M2_precip,H,642.8683753501401,641.3279639192147,2.3728673765258654,1.5404114309254737
