origin,horizon,model,obs,pred,below_660_obs,below_660_pred,sqerr,abserr
1948,1,naive_persist,662.3477134986226,659.3478709677419,0,1,8.999055210081057,2.9998425308807555
1948,1,naive_mean,662.3477134986226,672.8447658540707,0,0,110.1881081530183,10.49705235544809
1948,1,M1,662.3477134986226,667.7502543409213,0,0,29.187447552705148,5.402540842298663
1948,1,M2,662.3477134986226,655.7345833166855,0,1,43.73349080324735,6.613130181937095
1948,1,M2m,662.3477134986226,660.249484189945,0,0,4.402566231793988,2.0982293086776735
1948,1,M3,662.3477134986226,657.0342405708973,0,1,28.232994553670125,5.313472927725343
1948,1,M4,662.3477134986226,662.7706347541653,0,0,0.17886238838975702,0.42292125554263293
1948,1,M2_oracle,662.3477134986226,660.9538601808479,0,0,1.9428270714716944,1.3938533177747559
1948,5,naive_persist,642.8683753501401,659.3478709677419,1,1,271.57377581055505,16.479495617601742
1948,5,naive_mean,642.8683753501401,672.8447658540707,1,0,898.5839876441399,29.97639050393059
1948,5,M1,642.8683753501401,672.4813264924522,1,0,876.9268753569643,29.612951142312113
1948,5,M2,642.8683753501401,645.8362584041911,1,1,8.808329822522841,2.967883054050958
1948,5,M2m,642.8683753501401,662.7193845910817,1,0,394.0625678839491,19.851009240941607
1948,5,M3,642.8683753501401,646.4078452338662,1,1,12.527847057803642,3.539469883726042
1948,5,M4,642.8683753501401,649.6036782796411,1,1,45.364305552144984,6.735302929501017
1948,5,M2_oracle,642.8683753501401,652.4433220020156,1,1,91.67960338626199,9.574946651875507
1949,1,naive_persist,659.4780273972603,662.3477134986226,1,0,8.235098320351822,2.8696861013622765
1949,1,naive_mean,659.4780273972603,672.1887000818551,1,0,161.56120009490397,12.710672684594783
1949,1,M1,659.4780273972603,666.4994145794842,1,0,49.299877962697536,7.021387182223862
1949,1,M2,659.4780273972603,664.2020861918363,1,0,22.31673149461054,4.724058794575967
1949,1,M2m,659.4780273972603,663.463418378209,1,0,15.883341271026737,3.9853909809486368
1949,1,M3,659.4780273972603,664.1236239489456,1,0,21.581567321029702,4.64559655168523
1949,1,M4,659.4780273972603,663.6979169469209,1,0,17.807467811334682,4.219889549660593
1949,1,M2_oracle,659.4780273972603,659.9163808048537,1,1,0.1921537099487051,0.43835340759335395
1949,5,naive_persist,635.8018289085546,662.3477134986226,1,0,704.6839886692096,26.545884590068
1949,5,naive_mean,635.8018289085546,672.1887000818551,1,0,1324.0043937823673,36.386871173300506
1949,5,M1,635.8018289085546,671.160027005284,1,0,1250.2021726475532,35.358198096729325
1949,5,M2,635.8018289085546,668.645723968272,1,0,1078.721442693729,32.8438950597174
1949,5,M2m,635.8018289085546,666.136984683638,1,0,920.221675898577,30.33515577508342
1949,5,M3,635.8018289085546,668.6176090760653,1,0,1076.8754280023845,32.81578016751064
1949,5,M4,635.8018289085546,668.4330570037158,1,0,1064.797046998437,32.63122809516119
1949,5,M2_oracle,635.8018289085546,655.6610536592614,1,1,394.3888076990833,19.859224750706744
1950,1,naive_persist,648.3519452054794,659.4780273972603,1,1,123.78970493826492,11.126082191780938
1950,1,naive_mean,648.3519452054794,671.4410134533496,1,0,533.1050725548059,23.08906824787016
1950,1,M1,648.3519452054794,662.6773211324,1,0,205.21639544759705,14.325375926920628
1950,1,M2,648.3519452054794,657.4154320651589,1,1,82.14679405558348,9.063486859679529
1950,1,M2m,648.3519452054794,660.8238046646486,1,0,155.54727836926813,12.471859459169195
1950,1,M3,648.3519452054794,657.4554699672971,1,1,82.87416308902715,9.103524761817653
1950,1,M4,648.3519452054794,657.6607302093552,1,1,86.65347824838214,9.308785003875755
1950,1,M2_oracle,648.3519452054794,656.8446848451263,1,1,72.12662658682902,8.492739639646857
1950,5,naive_persist,630.8421546961325,659.4780273972603,1,1,820.0132053551977,28.635872701127823
1950,5,naive_mean,630.8421546961325,671.4410134533496,1,0,1648.2673323884592,40.598858757217045
1950,5,M1,630.8421546961325,668.2593580931529,1,0,1400.0471100539896,37.41720339702033
1950,5,M2,630.8421546961325,652.3719785141984,1,1,463.5333136369574,21.529823818065893
1950,5,M2m,630.8421546961325,664.1144962668136,1,0,1107.0487135960723,33.27234157068108
1950,5,M3,630.8421546961325,652.3867343074484,1,1,464.16891062832616,21.54457961131584
1950,5,M4,630.8421546961325,652.4793101555673,1,1,468.1664963757483,21.63715545943478
1950,5,M2_oracle,630.8421546961325,654.8853356169011,1,1,578.0745487888101,24.043180920768577
1951,1,naive_persist,642.6324863387978,648.3519452054794,1,1,32.712209727663165,5.719458866681634
1951,1,naive_mean,642.6324863387978,670.158287439579,1,0,757.6697262397688,27.525801100781223
1951,1,M1,642.6324863387978,647.9361217768367,1,1,28.12854885962203,5.303635438038896
1951,1,M2,642.6324863387978,643.5049432631796,1,1,0.7611810849017888,0.8724569243818223
1951,1,M2m,642.6324863387978,648.7201447431777,1,1,37.05958484841733,6.0876584043799085
1951,1,M3,642.6324863387978,644.854306172134,1,1,4.936483371806155,2.2218198333362125
1951,1,M4,642.6324863387978,649.2782591674769,1,1,44.16629649040978,6.645772828679128
1951,1,M2_oracle,642.6324863387978,645.7148783545266,1,1,9.50114053862883,3.0823920157288285
1951,5,naive_persist,623.1509836065574,648.3519452054794,1,1,635.0884655103438,25.20096159892205
1951,5,naive_mean,623.1509836065574,670.158287439579,1,0,2209.6866136500107,47.00730383302164
1951,5,M1,623.1509836065574,646.4256365623337,1,1,541.7094702118279,23.274652955776332
1951,5,M2,623.1509836065574,627.9012848433628,1,1,22.5653618403949,4.750301236805399
1951,5,M2m,623.1509836065574,649.9054671104826,1,1,715.8023875618087,26.754483503925258
1951,5,M3,623.1509836065574,628.6434374768127,1,1,30.167049516882464,5.492453870255304
1951,5,M4,623.1509836065574,631.9996138414471,1,1,78.29825703380409,8.848630234889697
1951,5,M2_oracle,623.1509836065574,630.2078561307993,1,1,49.799449823401,7.056872524241953
1952,1,naive_persist,642.8683753501401,642.6324863387978,1,1,0.055643625672071935,0.2358890113423513
1952,1,naive_mean,642.8683753501401,668.7095610658537,1,0,667.766879193998,25.84118571571355
1952,1,M1,642.8683753501401,631.0992551818671,1,1,138.51218953525142,11.769120168273048
1952,1,M2,642.8683753501401,638.58665119809,1,1,18.33316171424978,4.281724152050174
1952,1,M2m,642.8683753501401,641.1994775850812,1,1,2.7852197502185474,1.6688977650588868
1952,1,M3,642.8683753501401,638.9067052654655,1,1,15.69482985980617,3.9616700846746653
1952,1,M4,642.8683753501401,640.4047190547874,1,1,6.06960234163116,2.4636562953527346
1952,1,M2_oracle,642.8683753501401,636.932530818179,1,1,35.23425030761311,5.935844531961152
1952,5,naive_persist,637.1188767123288,642.6324863387978,1,1,30.39989111309184,5.5136096264690195
1952,5,naive_mean,637.1188767123288,668.7095610658537,1,0,997.9713379240443,31.59068435352492
1952,5,M1,637.1188767123288,610.0,1,1,735.4334741384869,27.118876712328756
1952,5,M2,637.1188767123288,622.9844201502391,1,1,199.78286230559965,14.134456562089667
1952,5,M2m,637.1188767123288,635.6732678183712,1,1,2.0897850742892268,1.4456088939575693
1952,5,M3,637.1188767123288,623.235124952618,1,1,192.7585629252721,13.883751759710776
1952,5,M4,637.1188767123288,624.7090797059981,1,1,154.00306173833386,12.409797006330678
1952,5,M2_oracle,637.1188767123288,630.6907740857943,1,1,41.32050337725969,6.428102626534496
1953,1,naive_persist,635.8018289085546,642.8683753501401,1,1,49.93607861108471,7.066546441585501
1953,1,naive_mean,635.8018289085546,667.417501780068,1,0,999.55077111855,31.615672871513425
1953,1,M1,635.8018289085546,641.0643532764615,1,1,27.69416272281338,5.262524367906849
1953,1,M2,635.8018289085546,639.7353542853833,1,1,15.472621890155347,3.9335253768286975
1953,1,M2m,635.8018289085546,644.3773538012617,1,1,73.53962718543926,8.575524892707108
1953,1,M3,635.8018289085546,639.187277264303,1,1,11.461260569439508,3.3854483557483945
1953,1,M4,635.8018289085546,636.4154858970868,1,1,0.3765748995743725,0.6136569885321705
1953,1,M2_oracle,635.8018289085546,639.6139641409573,1,1,14.532375030125413,3.8121352324026248
1953,5,naive_persist,666.7902486187845,642.8683753501401,0,1,572.256020681083,23.92187326864439
1953,5,naive_mean,666.7902486187845,667.417501780068,0,0,0.39344652834018673,0.6272531612835337
1953,5,M1,666.7902486187845,633.5972579136806,0,1,1101.7746319491182,33.192990705103966
1953,5,M2,666.7902486187845,630.6109942857544,0,1,1308.9384440940805,36.179254333030144
1953,5,M2m,666.7902486187845,648.7719819684952,0,1,324.65793308092833,18.01826665028932
1953,5,M3,666.7902486187845,630.3377980276824,0,1,1328.7811540967393,36.45245059110209
1953,5,M4,666.7902486187845,628.63859680107,0,1,1455.5485364201209,38.15165181771454
1953,5,M2_oracle,666.7902486187845,666.403969705116,0,0,0.14921139914495343,0.38627891366854783
1954,1,naive_persist,630.8421546961325,635.8018289085546,1,1,24.598368293364786,4.959674212422101
1954,1,naive_mean,630.8421546961325,665.9119935480912,1,0,1229.8935971023525,35.06983885195871
1954,1,M1,630.8421546961325,622.1694091709182,1,1,75.21651494512435,8.672745525214282
1954,1,M2,630.8421546961325,632.114691211414,1,1,1.6193491827246427,1.2725365152814447
1954,1,M2m,630.8421546961325,637.1612007738257,1,1,39.93034333200983,6.319046077693201
1954,1,M3,630.8421546961325,632.7462067276244,1,1,3.6254141386284884,1.904052031491915
1954,1,M4,630.8421546961325,634.9056170556503,1,1,16.511726347217618,4.063462359517757
1954,1,M2_oracle,630.8421546961325,632.4497321131196,1,1,2.5843051516067734,1.6075774169870556
1954,5,naive_persist,672.0067857142857,635.8018289085546,0,1,1310.7988973048516,36.20495680573106
1954,5,naive_mean,672.0067857142857,665.9119935480912,0,0,37.146491549105264,6.094792166194452
1954,5,M1,672.0067857142857,610.0,0,1,3844.841474617343,62.006785714285684
1954,5,M2,672.0067857142857,620.8031165403013,0,1,2621.8157368788397,51.203669173984395
1954,5,M2m,672.0067857142857,641.3315458010125,0,1,940.9703437368711,30.67523991327323
1954,5,M3,672.0067857142857,621.1260010717484,0,1,2588.8542458402558,50.880784642537265
1954,5,M4,672.0067857142857,622.6274082182093,0,1,2438.3229219000123,49.37937749607636
1954,5,M2_oracle,672.0067857142857,661.2107388822564,0,0,116.5546271993706,10.796046832029333
1955,1,naive_persist,623.1509836065574,630.8421546961325,1,1,59.15411272911681,7.691171089575164
1955,1,naive_mean,623.1509836065574,664.3179099639112,1,0,1694.715825711797,41.16692635735387
1955,1,M1,623.1509836065574,610.1641335375942,1,1,168.65827471372745,12.986850068963122
1955,1,M2,623.1509836065574,627.4450303494157,1,1,18.43883742985209,4.294046742858313
1955,1,M2m,623.1509836065574,632.0481833324441,1,1,79.16016296231851,8.897199725886708
1955,1,M3,623.1509836065574,627.6977346563416,1,1,20.672945108714035,4.546751049784234
1955,1,M4,623.1509836065574,628.6180741549986,1,1,29.889079064855167,5.467090548441206
1955,1,M2_oracle,623.1509836065574,624.595326464693,1,1,2.086126291847475,1.4443428581356557
