model,horizon,n,rmse,brier_660
M1,1,16,12.162882136304978,0.25
M1,5,12,17.155730151750692,0.5
M2,1,16,13.314029210489792,0.25
M2,5,12,34.95200801350067,0.5833333333333334
M2_oracle,1,16,8.03075869895299,0.1875
M2_oracle,5,12,8.691914848038852,0.16666666666666666
M2m,1,16,12.181170516187095,0.25
M2m,5,12,17.637823368363744,0.5833333333333334
M3,1,16,12.497419217132084,0.1875
M3,5,12,34.91446123571632,0.5833333333333334
M4,1,16,12.445081934267066,0.3125
M4,5,12,34.85426934407309,0.5833333333333334
naive_mean,1,16,14.923935653386476,0.5
naive_mean,5,12,16.407643965527775,0.5
naive_persist,1,16,13.087070097314212,0.3125
naive_persist,5,12,25.097161259152173,0.8333333333333334
