model,horizon,n,rmse,mae,brier_660
M1,1,75,12.839129375852034,10.716569153806413,0.24
M1,5,71,21.25140899501047,16.6640147149463,0.49295774647887325
M2,1,75,14.697759248814572,11.454233779314661,0.22666666666666666
M2,5,71,33.48545607093358,28.652520146662816,0.5492957746478874
M2_oracle,1,75,7.546731824129813,5.79461392705495,0.16
M2_oracle,5,71,10.864517564183158,8.76940205233285,0.2676056338028169
M2m,1,75,12.28321959100849,10.224597483343803,0.24
M2m,5,71,17.444926311170768,14.801935061763407,0.5211267605633803
M3,1,75,14.458032241570459,11.118098825100953,0.21333333333333335
M3,5,71,33.458868220886245,28.658582001066456,0.5492957746478874
M4,1,75,14.295317179791244,11.166079539970193,0.22666666666666666
M4,5,71,33.38938574082482,28.700662192125794,0.5633802816901409
naive_mean,1,75,16.17157185591985,13.166204560774526,0.4
naive_mean,5,71,16.80479367118051,13.18840191235337,0.38028169014084506
naive_persist,1,75,13.230085772397212,10.728912058285621,0.26666666666666666
naive_persist,5,71,21.105596110577675,18.375512934340495,0.5352112676056338
