window,model,train,test,n,rmse,mae,brier_660,direction
dor_drawdown,naive_persist,1934-1950,1951-1956,6,23.747533873437817,22.203398379650043,0.0,0.0
dor_drawdown,M1,1934-1950,1951-1956,6,30.941436454676754,29.15374234840554,1.0,0.2
dor_drawdown,M2,1934-1950,1951-1956,6,18.10531818158991,16.86154112692384,0.0,0.8
dor_drawdown,M2m,1934-1950,1951-1956,6,27.44092459247185,25.68878882171388,1.0,0.2
dor_drawdown,H1_two_pool,1934-1950,1951-1956,6,45.251320284109866,41.75897653595488,0.8333333333333334,0.6
dor_recovery,naive_persist,1934-1956,1957-1961,5,43.623348126503245,41.33995202717997,0.8,0.0
dor_recovery,M1,1934-1956,1957-1961,5,56.24292786116898,54.49093563373733,0.8,0.0
dor_recovery,M2,1934-1956,1957-1961,5,55.3207232174765,52.754910766279366,0.8,0.0
dor_recovery,M2m,1934-1956,1957-1961,5,37.74116490715007,35.76940521804786,0.8,0.75
dor_recovery,H1_two_pool,1934-1956,1957-1961,5,55.940497107021955,54.22659148877237,0.8,0.25
prepermit_wet,naive_persist,1980-1990,1991-1995,5,30.13106469270148,27.042797820017448,0.8,0.0
prepermit_wet,M1,1980-1990,1991-1995,5,20.018832459580036,15.497040817861057,0.8,0.25
prepermit_wet,M2,1980-1990,1991-1995,5,16.669700318810435,11.537292493166046,0.0,0.25
prepermit_wet,M2m,1980-1990,1991-1995,5,23.47099745106245,19.56016382301707,0.8,0.25
prepermit_wet,H1_two_pool,1980-1990,1991-1995,5,17.114915884176373,13.551623167553066,0.4,0.75
cpm_era,naive_persist,1997-2014,2015-2023,9,27.41258386604106,24.252543528707204,0.6666666666666666,0.0
cpm_era,M1,1997-2014,2015-2023,9,15.622251953442671,12.87906348097412,0.5555555555555556,0.25
cpm_era,M2,1997-2014,2015-2023,9,23.37268885273394,20.670799367202083,0.6666666666666666,0.25
cpm_era,M2m,1997-2014,2015-2023,9,14.793993673753524,11.094078435185894,0.3333333333333333,0.25
cpm_era,H1_two_pool,1997-2014,2015-2023,9,36.54530979837516,34.505528721205366,0.6666666666666666,0.75
